,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
18831,Rio de Janeiro,2075,Sim,Sim,Sim,Não,média
18838,Rio de Janeiro,2589,Sim,Sim,Sim,Sim,média
18839,Rio de Janeiro,1296,Sim,Sim,Sim,Sim,média_baixa
18846,Rio de Janeiro,200,Sim,Não,Sim,Sim,baixa
18850,Rio de Janeiro,550,Sim,Não,Sim,Sim,média_baixa
18854,Rio de Janeiro,75,Sim,Não,Sim,Sim,baixa
18855,Rio de Janeiro,1466,Sim,Sim,Sim,Sim,média_baixa
18856,Rio de Janeiro,1619,Sim,Sim,Sim,Sim,média
18858,Rio de Janeiro,1917,Sim,Sim,Sim,Sim,média
18860,Rio de Janeiro,204,Sim,Não,Sim,Sim,baixa
18861,Rio de Janeiro,778,Sim,Sim,Sim,Sim,média_baixa
18862,Rio de Janeiro,449,Sim,Não,Sim,Sim,baixa
18864,Rio de Janeiro,347,Sim,Sim,Sim,Sim,baixa
18865,Rio de Janeiro,1642,Sim,Sim,Sim,Não,média
18866,Rio de Janeiro,227,Sim,Não,Sim,Sim,baixa
18867,Rio de Janeiro,405,Sim,Não,Sim,Sim,baixa
18869,Rio de Janeiro,729,Sim,Não,Sim,Sim,média_baixa
18874,Rio de Janeiro,4108,Sim,Não,Sim,Não,alta
18875,Rio de Janeiro,397,Sim,Sim,Sim,Sim,baixa
18876,Rio de Janeiro,314,Sim,Não,Sim,Sim,baixa
18877,Rio de Janeiro,689,Sim,Não,Sim,Não,média_baixa
18878,Rio de Janeiro,500,Sim,Não,Sim,Sim,baixa
18882,Rio de Janeiro,637,Sim,Sim,Sim,Sim,média_baixa
18884,Rio de Janeiro,635,Sim,Sim,Sim,Sim,média_baixa
18885,Rio de Janeiro,536,Sim,Não,Sim,Sim,média_baixa
18886,Rio de Janeiro,366,Sim,Não,Sim,Sim,baixa
18888,Rio de Janeiro,910,Sim,Não,Sim,Sim,média_baixa
18889,Rio de Janeiro,1398,Sim,Sim,Sim,Sim,média_baixa
18891,Rio de Janeiro,393,Sim,Sim,Sim,Não,baixa
18892,Rio de Janeiro,560,Sim,Sim,Sim,Sim,média_baixa
18894,Rio de Janeiro,460,Sim,Não,Sim,Sim,baixa
18895,Rio de Janeiro,270,Sim,Sim,Sim,Não,baixa
18897,Rio de Janeiro,370,Sim,Sim,Sim,Sim,baixa
18902,Rio de Janeiro,954,Sim,Não,Sim,Sim,média_baixa
18903,Rio de Janeiro,437,Sim,Não,Sim,Sim,baixa
18905,Rio de Janeiro,394,Sim,Sim,Sim,Sim,baixa
18907,Rio de Janeiro,276,Sim,Não,Sim,Sim,baixa
18909,Rio de Janeiro,275,Sim,Não,Sim,Sim,baixa
18910,Rio de Janeiro,175,Sim,Não,Sim,Sim,baixa
18913,Rio de Janeiro,2200,Sim,Não,Sim,Sim,média
18924,Rio de Janeiro,300,Sim,Não,Sim,Sim,baixa
18925,Rio de Janeiro,233,Sim,Não,Sim,Sim,baixa
18926,Rio de Janeiro,1025,Sim,Não,Sim,Sim,média_baixa
18935,Rio de Janeiro,497,Sim,Sim,Sim,Sim,baixa
18937,Rio de Janeiro,750,Sim,Não,Sim,Sim,média_baixa
18938,Rio de Janeiro,550,Sim,Sim,Sim,Sim,média_baixa
18939,Rio de Janeiro,533,Sim,Sim,Sim,Sim,média_baixa
18943,Rio de Janeiro,920,Sim,Não,Sim,Sim,média_baixa
18948,Rio de Janeiro,1375,Sim,Não,Sim,Sim,média_baixa
18952,Bahia,1004,Sim,Não,Sim,Sim,média_baixa
18956,Bahia,350,Sim,Não,Sim,Sim,baixa
18958,Bahia,525,Sim,Sim,Sim,Não,média_baixa
18959,Bahia,1696,Sim,Não,Sim,Sim,média
18960,Bahia,768,Sim,Sim,Sim,Não,média_baixa
18961,Bahia,400,Sim,Sim,Sim,Sim,baixa
18963,Bahia,392,Sim,Não,Sim,Sim,baixa
18965,Bahia,529,Sim,Não,Sim,Não,média_baixa
18970,Bahia,546,Sim,Sim,Sim,Não,média_baixa
18971,Bahia,0,Sim,Não,Sim,Sim,baixa
18972,Bahia,525,Sim,Não,Sim,Sim,média_baixa
18973,Bahia,454,Sim,Sim,Sim,Não,baixa
18975,Bahia,300,Sim,Não,Sim,Sim,baixa
18983,Bahia,2015,Sim,Não,Sim,Sim,média
19001,Bahia,917,Sim,Sim,Sim,Não,média_baixa
19004,Bahia,857,Sim,Sim,Sim,Não,média_baixa
19005,Bahia,600,Sim,Não,Sim,Sim,média_baixa
19021,Bahia,2697,Sim,Sim,Sim,Não,média
19022,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19024,Bahia,581,Sim,Não,Sim,Sim,média_baixa
19027,Bahia,49,Sim,Não,Sim,Sim,baixa
19029,Bahia,497,Sim,Não,Sim,Sim,baixa
19031,Bahia,591,Sim,Sim,Sim,Sim,média_baixa
19032,Bahia,620,Sim,Não,Sim,Sim,média_baixa
19037,Bahia,1140,Sim,Sim,Sim,Sim,média_baixa
19038,Bahia,2000,Sim,Não,Sim,Não,média
19039,Bahia,2500,Sim,Sim,Sim,Não,média
19042,Bahia,966,Sim,Não,Sim,Não,média_baixa
19044,Bahia,862,Sim,Não,Sim,Não,média_baixa
19045,Bahia,750,Sim,Sim,Sim,Não,média_baixa
19046,Bahia,600,Sim,Sim,Sim,Não,média_baixa
19047,Bahia,1844,Sim,Não,Sim,Não,média
19048,Bahia,315,Sim,Não,Sim,Sim,baixa
19050,Bahia,296,Sim,Sim,Sim,Não,baixa
19053,Bahia,500,Sim,Não,Sim,Sim,baixa
19057,Bahia,1400,Sim,Sim,Sim,Sim,média_baixa
19063,Bahia,1025,Sim,Sim,Sim,Não,média_baixa
19064,Bahia,887,Sim,Sim,Sim,Não,média_baixa
19069,Bahia,262,Sim,Não,Sim,Sim,baixa
19072,Bahia,433,Sim,Não,Sim,Sim,baixa
19075,Bahia,729,Sim,Sim,Sim,Sim,média_baixa
19078,Bahia,13750,Sim,Sim,Sim,Sim,alta
19080,Bahia,554,Sim,Não,Sim,Sim,média_baixa
19081,Bahia,1666,Sim,Sim,Sim,Sim,média
19100,Bahia,394,Sim,Sim,Sim,Sim,baixa
19103,Bahia,2500,Sim,Não,Sim,Sim,média
19104,Bahia,1006,Sim,Não,Sim,Não,média_baixa
19105,Bahia,940,Sim,Não,Sim,Sim,média_baixa
19109,Bahia,591,Sim,Não,Sim,Sim,média_baixa
19111,Bahia,429,Sim,Não,Sim,Sim,baixa
19112,Bahia,195,Sim,Não,Sim,Sim,baixa
19113,Bahia,356,Sim,Não,Sim,Sim,baixa
19166,Bahia,447,Sim,Sim,Sim,Não,baixa
19169,Bahia,265,Sim,Sim,Sim,Não,baixa
19180,Bahia,788,Sim,Sim,Sim,Sim,média_baixa
19182,Bahia,5000,Sim,Sim,Não,Não,alta
19191,Bahia,1200,Sim,Sim,Não,Não,média_baixa
19194,Bahia,1100,Sim,Sim,Não,Não,média_baixa
19198,Bahia,1750,Sim,Sim,Sim,Não,média
19219,Bahia,2666,Sim,Sim,Sim,Sim,média
19236,Bahia,33500,Sim,Sim,Sim,Sim,alta
19277,Bahia,1766,Sim,Sim,Sim,Sim,média
19280,Bahia,550,Sim,Sim,Sim,Sim,média_baixa
19281,Bahia,550,Sim,Não,Sim,Sim,média_baixa
19282,Bahia,792,Sim,Não,Sim,Sim,média_baixa
19283,Bahia,829,Sim,Sim,Sim,Sim,média_baixa
19287,Bahia,1133,Sim,Não,Sim,Sim,média_baixa
19288,Bahia,6000,Sim,Sim,Sim,Sim,alta
19292,Bahia,157,Sim,Não,Sim,Sim,baixa
19293,Bahia,822,Sim,Sim,Sim,Sim,média_baixa
19294,Bahia,925,Sim,Sim,Sim,Sim,média_baixa
19297,Bahia,545,Sim,Não,Sim,Sim,média_baixa
19301,Bahia,483,Sim,Sim,Sim,Sim,baixa
19302,Bahia,855,Sim,Não,Sim,Sim,média_baixa
19304,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19305,Bahia,833,Sim,Não,Sim,Sim,média_baixa
19307,Bahia,408,Sim,Não,Sim,Sim,baixa
19308,Bahia,788,Sim,Sim,Sim,Sim,média_baixa
19310,Bahia,725,Sim,Sim,Sim,Sim,média_baixa
19314,Bahia,666,Sim,Não,Sim,Não,média_baixa
19315,Bahia,1325,Sim,Sim,Sim,Sim,média_baixa
19316,Bahia,758,Sim,Não,Não,Sim,média_baixa
19319,Bahia,600,Sim,Sim,Sim,Não,média_baixa
19320,Bahia,837,Sim,Sim,Sim,Sim,média_baixa
19321,Bahia,1625,Sim,Sim,Sim,Sim,média
19322,Bahia,1014,Sim,Não,Sim,Sim,média_baixa
19323,Bahia,1350,Sim,Sim,Sim,Sim,média_baixa
19325,Bahia,1000,Sim,Não,Sim,Não,média_baixa
19327,Bahia,800,Sim,Sim,Sim,Não,média_baixa
19331,Bahia,757,Sim,Sim,Sim,Não,média_baixa
19334,Bahia,429,Sim,Sim,Sim,Não,baixa
19335,Bahia,3750,Sim,Não,Sim,Sim,alta
19336,Bahia,516,Sim,Sim,Sim,Não,média_baixa
19337,Bahia,2066,Sim,Sim,Sim,Sim,média
19338,Bahia,800,Sim,Não,Sim,Sim,média_baixa
19339,Bahia,929,Sim,Sim,Sim,Não,média_baixa
19342,Bahia,1200,Sim,Sim,Sim,Não,média_baixa
19343,Bahia,394,Sim,Não,Sim,Sim,baixa
19351,Bahia,1591,Sim,Sim,Sim,Não,média
19353,Bahia,500,Sim,Sim,Sim,Não,baixa
19354,Bahia,477,Sim,Sim,Sim,Não,baixa
19358,Bahia,457,Sim,Sim,Sim,Não,baixa
19359,Bahia,1256,Sim,Sim,Sim,Não,média_baixa
19361,Bahia,5400,Sim,Sim,Não,Sim,alta
19362,Bahia,494,Sim,Sim,Não,Sim,baixa
19363,Bahia,400,Sim,Sim,Sim,Não,baixa
19369,Bahia,610,Sim,Sim,Sim,Não,média_baixa
19375,Bahia,450,Sim,Não,Sim,Não,baixa
19378,Bahia,375,Sim,Sim,Sim,Não,baixa
19380,Bahia,550,Sim,Não,Sim,Sim,média_baixa
19385,Bahia,940,Sim,Sim,Sim,Não,média_baixa
19387,Bahia,1833,Sim,Sim,Sim,Não,média
19389,Bahia,575,Sim,Não,Sim,Não,média_baixa
19391,Bahia,1000,Sim,Sim,Sim,Não,média_baixa
19393,Bahia,933,Sim,Sim,Sim,Não,média_baixa
19397,Bahia,1750,Sim,Não,Sim,Sim,média
19398,Bahia,411,Sim,Sim,Sim,Não,baixa
19404,Bahia,1672,Sim,Sim,Sim,Não,média
19409,Bahia,300,Sim,Sim,Sim,Sim,baixa
19412,Bahia,725,Sim,Sim,Sim,Sim,média_baixa
19418,Bahia,900,Sim,Não,Sim,Sim,média_baixa
19422,Bahia,733,Sim,Não,Sim,Sim,média_baixa
19424,Bahia,644,Sim,Sim,Sim,Sim,média_baixa
19426,Bahia,525,Sim,Não,Sim,Sim,média_baixa
19427,Bahia,396,Sim,Não,Sim,Sim,baixa
19432,Bahia,2200,Sim,Sim,Sim,Sim,média
19433,Bahia,680,Sim,Sim,Sim,Sim,média_baixa
19434,Bahia,117,Sim,Sim,Sim,Sim,baixa
19435,Bahia,775,Sim,Sim,Sim,Sim,média_baixa
19437,Bahia,300,Sim,Sim,Sim,Sim,baixa
19439,Bahia,1900,Sim,Sim,Sim,Sim,média
19441,Bahia,456,Sim,Não,Sim,Sim,baixa
19445,Bahia,844,Sim,Não,Sim,Sim,média_baixa
19447,Bahia,1347,Sim,Sim,Sim,Sim,média_baixa
19448,Bahia,2500,Sim,Não,Sim,Sim,média
19449,Bahia,447,Sim,Não,Sim,Sim,baixa
19452,Bahia,850,Sim,Não,Sim,Sim,média_baixa
19453,Bahia,1029,Sim,Não,Sim,Sim,média_baixa
19454,Bahia,700,Sim,Não,Sim,Sim,média_baixa
19455,Bahia,2500,Sim,Sim,Sim,Sim,média
19457,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19458,Bahia,1250,Sim,Sim,Sim,Sim,média_baixa
19460,Bahia,694,Sim,Não,Sim,Sim,média_baixa
19462,Bahia,912,Sim,Não,Sim,Sim,média_baixa
19474,Bahia,333,Sim,Não,Sim,Sim,baixa
19475,Bahia,892,Sim,Não,Sim,Sim,média_baixa
19476,Bahia,470,Sim,Não,Sim,Sim,baixa
19482,Bahia,1175,Sim,Não,Sim,Sim,média_baixa
19485,Bahia,596,Sim,Sim,Sim,Não,média_baixa
19487,Bahia,700,Sim,Não,Sim,Sim,média_baixa
19488,Bahia,1200,Sim,Não,Não,Não,média_baixa
19490,Bahia,1525,Sim,Sim,Sim,Sim,média
19493,Bahia,671,Sim,Não,Sim,Sim,média_baixa
19494,Bahia,627,Sim,Sim,Sim,Sim,média_baixa
19495,Bahia,1297,Sim,Sim,Sim,Sim,média_baixa
19497,Bahia,3300,Sim,Não,Sim,Sim,alta
19498,Bahia,276,Sim,Não,Sim,Sim,baixa
19502,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19503,Bahia,164,Sim,Não,Sim,Sim,baixa
19504,Bahia,1000,Sim,Sim,Sim,Sim,média_baixa
19505,Bahia,391,Sim,Sim,Sim,Sim,baixa
19508,Bahia,647,Sim,Não,Sim,Sim,média_baixa
19509,Bahia,333,Sim,Não,Sim,Sim,baixa
19510,Bahia,317,Sim,Não,Sim,Sim,baixa
19511,Bahia,1019,Sim,Não,Sim,Sim,média_baixa
19513,Bahia,266,Sim,Não,Sim,Sim,baixa
19514,Bahia,366,Sim,Não,Sim,Sim,baixa
19519,Bahia,541,Sim,Não,Sim,Sim,média_baixa
19521,Bahia,600,Sim,Não,Sim,Sim,média_baixa
19522,Bahia,82,Sim,Não,Sim,Sim,baixa
19524,Bahia,197,Sim,Sim,Sim,Sim,baixa
19525,Bahia,429,Sim,Sim,Sim,Não,baixa
19529,Bahia,233,Sim,Sim,Sim,Sim,baixa
19530,Bahia,332,Sim,Não,Sim,Sim,baixa
19531,Bahia,1000,Sim,Não,Sim,Sim,média_baixa
19532,Bahia,261,Sim,Sim,Sim,Sim,baixa
19534,Bahia,675,Sim,Sim,Sim,Não,média_baixa
19537,Bahia,417,Sim,Não,Sim,Sim,baixa
19538,Bahia,313,Sim,Não,Sim,Sim,baixa
19541,Bahia,4100,Sim,Não,Sim,Não,alta
19542,Bahia,1150,Sim,Sim,Sim,Não,média_baixa
19546,Bahia,1666,Sim,Sim,Sim,Não,média
19548,Bahia,1750,Sim,Sim,Sim,Não,média
19553,Bahia,3000,Sim,Não,Sim,Sim,média
19557,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19559,Bahia,3450,Sim,Sim,Sim,Sim,alta
19560,Bahia,2600,Sim,Sim,Sim,Não,média
19561,Bahia,1150,Sim,Sim,Sim,Não,média_baixa
19564,Bahia,572,Sim,Sim,Não,Não,média_baixa
19568,Bahia,2000,Sim,Sim,Não,Não,média
19570,Bahia,775,Sim,Sim,Sim,Não,média_baixa
19591,Bahia,292,Sim,Não,Sim,Sim,baixa
19593,Bahia,315,Sim,Sim,Não,Não,baixa
19603,Bahia,244,Sim,Não,Sim,Sim,baixa
19604,Bahia,166,Sim,Sim,Sim,Não,baixa
19612,Bahia,157,Sim,Não,Sim,Sim,baixa
19624,Bahia,394,Sim,Não,Sim,Sim,baixa
19633,Bahia,750,Sim,Não,Sim,Sim,média_baixa
19634,Bahia,600,Sim,Não,Sim,Sim,média_baixa
19636,Bahia,400,Sim,Sim,Sim,Sim,baixa
19638,Bahia,49,Sim,Não,Sim,Sim,baixa
19639,Bahia,1250,Sim,Não,Sim,Sim,média_baixa
19641,Bahia,846,Sim,Não,Sim,Sim,média_baixa
19644,Bahia,490,Sim,Não,Sim,Não,baixa
19649,Bahia,900,Sim,Sim,Sim,Não,média_baixa
19650,Bahia,540,Sim,Sim,Sim,Não,média_baixa
19669,Bahia,1000,Sim,Sim,Sim,Não,média_baixa
19681,Bahia,362,Sim,Não,Sim,Sim,baixa
19682,Bahia,165,Sim,Não,Sim,Sim,baixa
19683,Bahia,966,Sim,Sim,Sim,Sim,média_baixa
19684,Bahia,394,Sim,Não,Sim,Sim,baixa
19686,Bahia,2175,Sim,Não,Sim,Sim,média
19690,Bahia,3500,Sim,Sim,Sim,Sim,alta
19694,Bahia,826,Sim,Sim,Sim,Sim,média_baixa
19695,Bahia,1750,Sim,Sim,Sim,Sim,média
19697,Bahia,650,Sim,Não,Sim,Sim,média_baixa
19700,Bahia,3500,Sim,Sim,Sim,Sim,alta
19702,Bahia,481,Sim,Não,Sim,Sim,baixa
19705,Bahia,925,Sim,Sim,Sim,Sim,média_baixa
19706,Bahia,662,Sim,Não,Sim,Sim,média_baixa
19707,Bahia,1525,Sim,Não,Sim,Sim,média
19713,Bahia,300,Sim,Sim,Sim,Sim,baixa
19716,Bahia,200,Sim,Não,Sim,Sim,baixa
19720,Bahia,1192,Sim,Sim,Sim,Sim,média_baixa
19722,Bahia,849,Sim,Não,Sim,Sim,média_baixa
19724,Bahia,658,Sim,Não,Sim,Sim,média_baixa
19727,Bahia,681,Sim,Sim,Sim,Sim,média_baixa
19728,Bahia,800,Sim,Sim,Sim,Sim,média_baixa
19729,Bahia,360,Sim,Sim,Sim,Sim,baixa
19730,Bahia,1500,Sim,Não,Sim,Sim,média_baixa
19733,Bahia,788,Sim,Sim,Sim,Sim,média_baixa
19746,Bahia,330,Sim,Sim,Sim,Não,baixa
19748,Bahia,372,Sim,Não,Sim,Sim,baixa
19749,Bahia,2750,Sim,Sim,Sim,Sim,média
19750,Bahia,700,Sim,Não,Sim,Sim,média_baixa
19757,Bahia,215,Sim,Sim,Sim,Sim,baixa
19761,Bahia,1825,Sim,Sim,Sim,Sim,média
19763,Bahia,17,Sim,Não,Sim,Sim,baixa
19766,Bahia,3682,Sim,Não,Sim,Sim,alta
19767,Bahia,660,Sim,Sim,Não,Não,média_baixa
19769,Bahia,220,Sim,Não,Sim,Sim,baixa
19772,Bahia,394,Sim,Não,Sim,Sim,baixa
19774,Bahia,1029,Sim,Sim,Não,Não,média_baixa
19776,Bahia,550,Sim,Sim,Não,Não,média_baixa
19781,Bahia,569,Sim,Não,Sim,Sim,média_baixa
19785,Bahia,2225,Sim,Sim,Sim,Sim,média
19786,Bahia,488,Sim,Não,Sim,Sim,baixa
19795,Bahia,841,Sim,Não,Sim,Sim,média_baixa
19798,Bahia,346,Sim,Não,Sim,Sim,baixa
19838,Bahia,1200,Sim,Sim,Não,Não,média_baixa
19840,Bahia,525,Sim,Não,Sim,Sim,média_baixa
19845,Bahia,788,Sim,Sim,Não,Sim,média_baixa
19849,Bahia,733,Sim,Sim,Sim,Sim,média_baixa
19853,Bahia,472,Sim,Não,Sim,Sim,baixa
19854,Bahia,300,Sim,Não,Sim,Sim,baixa
19856,Bahia,467,Sim,Não,Sim,Sim,baixa
19858,Bahia,189,Sim,Não,Sim,Sim,baixa
19860,Bahia,662,Sim,Sim,Sim,Sim,média_baixa
19861,Bahia,2094,Sim,Sim,Sim,Sim,média
19863,Bahia,662,Sim,Não,Sim,Sim,média_baixa
19864,Bahia,1200,Sim,Não,Sim,Sim,média_baixa
19867,Bahia,274,Sim,Não,Sim,Sim,baixa
19868,Bahia,1555,Sim,Sim,Sim,Sim,média
19870,Bahia,762,Sim,Não,Sim,Sim,média_baixa
19871,Bahia,366,Sim,Não,Sim,Sim,baixa
19876,Bahia,480,Sim,Sim,Sim,Sim,baixa
19879,Bahia,453,Sim,Não,Sim,Sim,baixa
19886,Bahia,2050,Sim,Sim,Sim,Sim,média
19887,Bahia,56,Sim,Não,Sim,Sim,baixa
19892,Bahia,788,Sim,Não,Sim,Sim,média_baixa
19896,Bahia,1373,Sim,Não,Sim,Sim,média_baixa
19911,Bahia,1040,Sim,Sim,Sim,Não,média_baixa
19918,Bahia,1300,Sim,Não,Sim,Não,média_baixa
19930,Bahia,676,Sim,Sim,Sim,Sim,média_baixa
19933,Bahia,233,Sim,Não,Sim,Sim,baixa
19936,Bahia,676,Sim,Sim,Sim,Não,média_baixa
19942,Bahia,491,Sim,Não,Sim,Sim,baixa
19944,Bahia,331,Sim,Não,Sim,Não,baixa
19948,Bahia,5500,Sim,Sim,Sim,Sim,alta
19950,Bahia,2175,Sim,Sim,Sim,Sim,média
19951,Bahia,2166,Sim,Não,Sim,Sim,média
19952,Bahia,1500,Sim,Sim,Sim,Sim,média_baixa
19953,Bahia,1096,Sim,Não,Sim,Sim,média_baixa
19954,Bahia,459,Sim,Sim,Sim,Sim,baixa
19957,Bahia,2785,Sim,Sim,Sim,Sim,média
19960,Bahia,894,Sim,Sim,Sim,Sim,média_baixa
19965,Bahia,1125,Sim,Sim,Sim,Sim,média_baixa
19967,Bahia,625,Sim,Sim,Sim,Sim,média_baixa
19977,Bahia,1366,Sim,Sim,Sim,Sim,média_baixa
19981,Bahia,800,Sim,Sim,Sim,Não,média_baixa
19987,Bahia,2166,Sim,Sim,Sim,Sim,média
19995,Bahia,1644,Sim,Sim,Sim,Sim,média
20002,Bahia,864,Sim,Sim,Sim,Sim,média_baixa
20003,Bahia,1950,Sim,Sim,Sim,Sim,média
20005,Bahia,3500,Sim,Sim,Sim,Não,alta
20007,Bahia,5544,Sim,Sim,Sim,Sim,alta
20008,Bahia,5500,Sim,Sim,Sim,Sim,alta
20011,Bahia,375,Sim,Sim,Não,Não,baixa
20018,Bahia,2850,Sim,Sim,Não,Não,média
20022,Bahia,1500,Sim,Sim,Sim,Sim,média_baixa
20023,Bahia,594,Sim,Sim,Sim,Sim,média_baixa
20024,Bahia,1288,Sim,Sim,Não,Sim,média_baixa
20026,Bahia,2500,Sim,Sim,Sim,Não,média
20028,Bahia,1250,Sim,Sim,Não,Não,média_baixa
20029,Bahia,587,Sim,Sim,Sim,Sim,média_baixa
20030,Bahia,8150,Sim,Sim,Sim,Sim,alta
20031,Bahia,1400,Sim,Sim,Sim,Sim,média_baixa
20039,Bahia,100,Sim,Não,Sim,Sim,baixa
20042,Bahia,1644,Sim,Sim,Não,Não,média
20044,Bahia,3500,Sim,Sim,Sim,Não,alta
20046,Bahia,500,Sim,Sim,Sim,Sim,baixa
20048,Bahia,2333,Sim,Sim,Sim,Sim,média
20050,Bahia,450,Sim,Sim,Sim,Sim,baixa
20051,Bahia,788,Sim,Sim,Sim,Sim,média_baixa
20055,Bahia,0,Sim,Sim,Sim,Sim,baixa
20057,Bahia,8500,Sim,Não,Sim,Sim,alta
20058,Bahia,1500,Sim,Sim,Sim,Não,média_baixa
20059,Bahia,1750,Sim,Sim,Sim,Sim,média
20064,Bahia,833,Sim,Sim,Não,Não,média_baixa
20065,Bahia,300,Sim,Sim,Não,Sim,baixa
20066,Bahia,9000,Sim,Sim,Sim,Não,alta
20070,Bahia,575,Sim,Sim,Sim,Sim,média_baixa
20071,Bahia,788,Sim,Sim,Não,Não,média_baixa
20077,Bahia,450,Sim,Sim,Sim,Sim,baixa
20084,Bahia,647,Sim,Sim,Sim,Sim,média_baixa
20086,Bahia,198,Sim,Não,Sim,Sim,baixa
20087,Bahia,300,Sim,Não,Sim,Sim,baixa
20088,Bahia,575,Sim,Não,Sim,Sim,média_baixa
20092,Bahia,662,Sim,Não,Sim,Sim,média_baixa
20094,Bahia,500,Sim,Sim,Sim,Sim,baixa
20097,Bahia,900,Sim,Sim,Sim,Sim,média_baixa
20098,Bahia,422,Sim,Sim,Sim,Sim,baixa
20100,Bahia,1250,Sim,Não,Sim,Sim,média_baixa
20103,Bahia,425,Sim,Não,Sim,Não,baixa
20105,Bahia,1600,Sim,Não,Sim,Não,média
20108,Bahia,800,Sim,Não,Sim,Sim,média_baixa
20109,Bahia,1400,Sim,Não,Sim,Não,média_baixa
20119,Bahia,525,Sim,Não,Sim,Não,média_baixa
20134,Bahia,3000,Sim,Sim,Sim,Sim,média
20135,Bahia,597,Sim,Sim,Não,Não,média_baixa
20136,Bahia,1750,Sim,Sim,Sim,Não,média
20137,Bahia,3500,Sim,Sim,Sim,Não,alta
20138,Bahia,1394,Sim,Sim,Sim,Sim,média_baixa
20141,Bahia,1000,Sim,Sim,Sim,Sim,média_baixa
20142,Bahia,1166,Sim,Sim,Sim,Não,média_baixa
20143,Bahia,143,Sim,Não,Sim,Não,baixa
20146,Bahia,1250,Sim,Não,Sim,Sim,média_baixa
20147,Bahia,737,Sim,Sim,Não,Não,média_baixa
20150,Bahia,717,Sim,Não,Sim,Sim,média_baixa
20152,Bahia,672,Sim,Não,Sim,Sim,média_baixa
20153,Bahia,788,Sim,Sim,Sim,Sim,média_baixa
20156,Bahia,525,Sim,Sim,Sim,Sim,média_baixa
20158,Bahia,329,Sim,Não,Sim,Sim,baixa
20178,Bahia,1750,Sim,Sim,Sim,Sim,média
20181,Bahia,8000,Sim,Sim,Sim,Sim,alta
20186,Bahia,762,Sim,Sim,Sim,Sim,média_baixa
20188,Bahia,2500,Sim,Sim,Sim,Sim,média
20192,Bahia,525,Sim,Não,Sim,Sim,média_baixa
20195,Bahia,1197,Sim,Sim,Sim,Sim,média_baixa
20203,Bahia,666,Sim,Sim,Sim,Sim,média_baixa
20214,Bahia,1766,Sim,Não,Sim,Sim,média
20242,Bahia,547,Sim,Sim,Sim,Sim,média_baixa
20244,Bahia,750,Sim,Sim,Sim,Sim,média_baixa
20248,Bahia,66,Sim,Não,Sim,Sim,baixa
20251,Bahia,429,Sim,Não,Sim,Sim,baixa
20252,Bahia,1000,Sim,Sim,Sim,Sim,média_baixa
20254,Bahia,815,Sim,Sim,Sim,Sim,média_baixa
20303,Bahia,1125,Sim,Sim,Sim,Sim,média_baixa
20306,Bahia,1266,Sim,Sim,Sim,Sim,média_baixa
20307,Bahia,733,Sim,Sim,Sim,Sim,média_baixa
20308,Bahia,1500,Sim,Não,Sim,Sim,média_baixa
20313,Bahia,697,Sim,Não,Sim,Sim,média_baixa
20314,Bahia,662,Sim,Não,Sim,Sim,média_baixa
20316,Bahia,0,Sim,Não,Sim,Sim,baixa
20319,Bahia,300,Sim,Não,Sim,Sim,baixa
20322,Bahia,340,Sim,Não,Sim,Sim,baixa
20323,Bahia,258,Sim,Não,Sim,Sim,baixa
20327,Bahia,696,Sim,Não,Sim,Sim,média_baixa
20328,Bahia,225,Sim,Não,Sim,Sim,baixa
20330,Bahia,2500,Sim,Sim,Sim,Sim,média
20331,Bahia,1125,Sim,Sim,Sim,Sim,média_baixa
20332,Bahia,175,Sim,Não,Sim,Sim,baixa
20333,Bahia,2333,Sim,Sim,Sim,Sim,média
20335,Bahia,3570,Sim,Sim,Sim,Sim,alta
20338,Bahia,394,Sim,Sim,Sim,Sim,baixa
20341,Bahia,285,Sim,Não,Sim,Sim,baixa
20346,Bahia,1061,Sim,Não,Sim,Sim,média_baixa
20370,Bahia,929,Sim,Não,Sim,Não,média_baixa
20373,Bahia,375,Sim,Sim,Sim,Sim,baixa
20378,Bahia,788,Sim,Sim,Não,Não,média_baixa
20379,Bahia,2233,Sim,Não,Sim,Sim,média
20380,Bahia,697,Sim,Não,Sim,Sim,média_baixa
20384,Bahia,241,Sim,Não,Sim,Sim,baixa
20389,Bahia,375,Sim,Não,Sim,Sim,baixa
20391,Bahia,240,Sim,Não,Sim,Sim,baixa
20396,Bahia,572,Sim,Não,Sim,Sim,média_baixa
20397,Bahia,644,Sim,Não,Sim,Sim,média_baixa
20402,Bahia,374,Sim,Sim,Não,Não,baixa
20406,Bahia,1283,Sim,Sim,Sim,Sim,média_baixa
20412,Bahia,500,Sim,Não,Sim,Sim,baixa
20446,Bahia,5333,Sim,Sim,Sim,Sim,alta
20462,Bahia,843,Sim,Sim,Sim,Sim,média_baixa
20463,Bahia,1006,Sim,Não,Sim,Sim,média_baixa
