,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
95380,São Paulo,800,Sim,Sim,Não,Não
95383,São Paulo,1100,Sim,Não,Sim,Sim
95384,São Paulo,975,Sim,Não,Não,Não
95387,São Paulo,1500,Sim,Não,Não,Não
95388,São Paulo,1600,Sim,Não,Não,Não
95390,São Paulo,500,Sim,Não,Não,Não
95391,São Paulo,750,Sim,Não,Não,Não
95394,São Paulo,700,Sim,Não,Não,Não
95395,São Paulo,1000,Sim,Não,Não,Não
95396,São Paulo,1000,Sim,Não,Não,Não
95398,São Paulo,1400,Sim,Não,Não,Não
95400,São Paulo,880,Sim,Sim,Não,Não
95402,São Paulo,1083,Sim,Não,Não,Não
95405,São Paulo,1400,Sim,Sim,Não,Não
95406,São Paulo,900,Sim,Não,Não,Não
95409,São Paulo,2000,Sim,Não,Não,Não
95410,São Paulo,1700,Sim,Não,Não,Não
95411,São Paulo,500,Sim,Não,Não,Não
95412,São Paulo,1700,Sim,Não,Sim,Não
95413,São Paulo,1166,Sim,Sim,Não,Não
95416,São Paulo,1700,Sim,Não,Não,Não
95417,São Paulo,1500,Sim,Não,Não,Não
95418,São Paulo,1700,Sim,Não,Não,Não
95419,São Paulo,1333,Sim,Não,Não,Não
95421,São Paulo,2333,Sim,Não,Não,Não
95422,São Paulo,3500,Sim,Não,Não,Não
95423,São Paulo,1450,Sim,Não,Não,Sim
95424,São Paulo,1066,Sim,Não,Não,Não
95425,São Paulo,1166,Sim,Sim,Não,Não
95426,São Paulo,2850,Sim,Não,Não,Sim
95430,São Paulo,2350,Sim,Não,Não,Não
95431,São Paulo,3700,Sim,Não,Sim,Sim
95432,São Paulo,1200,Sim,Não,Não,Não
95434,São Paulo,5250,Sim,Não,Não,Não
95436,São Paulo,1140,Sim,Não,Não,Não
95437,São Paulo,833,Sim,Não,Não,Não
95438,São Paulo,360,Sim,Sim,Não,Não
95439,São Paulo,1550,Sim,Não,Não,Não
95440,São Paulo,1250,Sim,Não,Não,Não
95442,São Paulo,1970,Sim,Não,Não,Não
95443,São Paulo,1500,Sim,Não,Não,Não
95445,São Paulo,1250,Sim,Não,Sim,Sim
95446,São Paulo,1220,Sim,Não,Não,Não
95448,São Paulo,2400,Sim,Não,Sim,Sim
95449,São Paulo,1000,Sim,Não,Não,Não
95454,São Paulo,3066,Sim,Não,Não,Não
95456,São Paulo,1100,Sim,Não,Não,Não
95461,São Paulo,1260,Sim,Não,Não,Não
95463,São Paulo,2250,Sim,Não,Não,Não
95464,São Paulo,1500,Sim,Não,Não,Não
95465,São Paulo,2400,Sim,Não,Não,Não
95466,São Paulo,3200,Sim,Não,Não,Não
95468,São Paulo,3175,Sim,Não,Sim,Sim
95469,São Paulo,1762,Sim,Não,Não,Sim
95471,São Paulo,1500,Sim,Não,Não,Sim
95472,São Paulo,1725,Sim,Não,Não,Sim
95473,São Paulo,1227,Sim,Não,Não,Sim
95474,São Paulo,347,Sim,Não,Não,Sim
95476,São Paulo,1475,Sim,Não,Não,Sim
95479,São Paulo,1975,Sim,Sim,Não,Não
95480,São Paulo,860,Sim,Não,Não,Sim
95483,São Paulo,1300,Sim,Não,Não,Sim
95484,São Paulo,3500,Sim,Sim,Não,Não
95485,São Paulo,1576,Sim,Não,Não,Sim
95486,São Paulo,1019,Sim,Sim,Não,Não
95487,São Paulo,1800,Sim,Sim,Não,Não
95489,São Paulo,166,Sim,Não,Não,Sim
95492,São Paulo,900,Sim,Não,Não,Sim
95493,São Paulo,1329,Sim,Não,Não,Sim
95494,São Paulo,660,Sim,Não,Não,Sim
95496,São Paulo,5100,Sim,Não,Não,Não
95497,São Paulo,2575,Sim,Não,Não,Sim
95498,São Paulo,3596,Sim,Não,Não,Sim
95500,São Paulo,2600,Sim,Não,Não,Não
95502,São Paulo,1900,Sim,Não,Não,Não
95504,São Paulo,1466,Sim,Não,Não,Sim
95505,São Paulo,3500,Sim,Sim,Não,Não
95506,São Paulo,2200,Sim,Não,Sim,Sim
95507,São Paulo,633,Sim,Não,Não,Sim
95508,São Paulo,2966,Sim,Não,Não,Sim
95509,São Paulo,2000,Sim,Não,Não,Não
95510,São Paulo,10000,Sim,Não,Não,Não
95511,São Paulo,2000,Sim,Não,Sim,Sim
95516,São Paulo,1710,Sim,Sim,Não,Não
95517,São Paulo,750,Sim,Não,Não,Não
95523,São Paulo,400,Sim,Sim,Não,Não
95527,São Paulo,2750,Sim,Não,Não,Não
95528,São Paulo,3433,Sim,Não,Não,Não
95531,São Paulo,3500,Sim,Não,Não,Não
95532,São Paulo,3000,Sim,Não,Não,Não
95534,São Paulo,1784,Sim,Não,Não,Não
95535,São Paulo,3500,Sim,Não,Não,Não
95536,São Paulo,2250,Sim,Não,Não,Não
95538,São Paulo,3716,Sim,Não,Não,Não
95539,São Paulo,2250,Sim,Não,Não,Não
95541,São Paulo,1576,Sim,Sim,Não,Sim
95542,São Paulo,1666,Sim,Não,Não,Sim
95544,São Paulo,10050,Sim,Não,Não,Sim
95545,São Paulo,1650,Sim,Não,Não,Sim
95546,São Paulo,3194,Sim,Não,Não,Sim
95547,São Paulo,5966,Sim,Não,Não,Sim
95548,São Paulo,2666,Sim,Não,Não,Sim
95549,São Paulo,9250,Sim,Não,Não,Sim
95550,São Paulo,4000,Sim,Não,Não,Sim
95551,São Paulo,3515,Sim,Não,Não,Sim
95552,São Paulo,7500,Sim,Não,Não,Sim
95553,São Paulo,2644,Sim,Não,Não,Sim
95554,São Paulo,1075,Sim,Não,Não,Sim
95555,São Paulo,671,Sim,Não,Não,Não
95556,São Paulo,1166,Sim,Não,Não,Sim
95557,São Paulo,1000,Sim,Não,Não,Não
95558,São Paulo,500,Sim,Sim,Não,Não
95559,São Paulo,1466,Sim,Não,Não,Não
95563,São Paulo,2300,Sim,Não,Não,Sim
95566,São Paulo,1375,Sim,Não,Não,Sim
95567,São Paulo,1125,Sim,Não,Não,Sim
95568,São Paulo,1500,Sim,Não,Não,Não
95570,São Paulo,1460,Sim,Não,Não,Sim
95572,São Paulo,4000,Sim,Não,Não,Sim
95573,São Paulo,500,Sim,Não,Não,Sim
95574,São Paulo,5000,Sim,Não,Não,Sim
95575,São Paulo,4250,Sim,Não,Não,Sim
95578,São Paulo,3100,Sim,Não,Não,Sim
95580,São Paulo,2247,Sim,Não,Sim,Sim
95581,São Paulo,6750,Sim,Não,Não,Sim
95582,São Paulo,3265,Sim,Não,Não,Sim
95583,São Paulo,820,Sim,Não,Não,Sim
95584,São Paulo,975,Sim,Não,Não,Sim
95585,São Paulo,4000,Sim,Não,Não,Sim
95586,São Paulo,5000,Sim,Sim,Não,Sim
95587,São Paulo,1625,Sim,Não,Não,Sim
95588,São Paulo,1833,Sim,Sim,Não,Não
95589,São Paulo,3000,Sim,Não,Não,Sim
95590,São Paulo,1300,Sim,Não,Não,Sim
95591,São Paulo,1317,Sim,Não,Não,Sim
95592,São Paulo,5066,Sim,Não,Não,Sim
95593,São Paulo,428,Sim,Não,Não,Sim
95594,São Paulo,2000,Sim,Não,Não,Sim
95596,São Paulo,3000,Sim,Não,Não,Sim
95597,São Paulo,1500,Sim,Não,Não,Sim
95598,São Paulo,3000,Sim,Não,Não,Sim
95599,São Paulo,3300,Sim,Não,Não,Sim
95600,São Paulo,2500,Sim,Não,Não,Sim
95601,São Paulo,6300,Sim,Não,Não,Sim
95602,São Paulo,11500,Sim,Sim,Não,Sim
95603,São Paulo,0,Sim,Não,Não,Sim
95604,São Paulo,8666,Sim,Não,Não,Sim
95605,São Paulo,4400,Sim,Não,Não,Sim
95606,São Paulo,1750,Sim,Não,Não,Sim
95607,São Paulo,10500,Sim,Não,Não,Sim
95610,São Paulo,766,Sim,Não,Não,Sim
95612,São Paulo,1000,Sim,Não,Não,Sim
95613,São Paulo,450,Sim,Não,Não,Sim
95614,São Paulo,450,Sim,Sim,Não,Sim
95615,São Paulo,355,Sim,Sim,Não,Não
95616,São Paulo,1333,Sim,Não,Não,Sim
95618,São Paulo,450,Sim,Não,Não,Sim
95619,São Paulo,625,Sim,Sim,Não,Sim
95623,São Paulo,966,Sim,Não,Não,Sim
95624,São Paulo,1125,Sim,Não,Não,Sim
95626,São Paulo,140,Sim,Não,Não,Sim
95630,São Paulo,1500,Sim,Sim,Não,Não
95631,São Paulo,1300,Sim,Não,Não,Não
95632,São Paulo,1766,Sim,Não,Não,Sim
95634,São Paulo,2125,Sim,Sim,Não,Não
95635,São Paulo,3000,Sim,Não,Não,Não
95636,São Paulo,1900,Sim,Não,Não,Sim
95638,São Paulo,1240,Sim,Não,Não,Sim
95639,São Paulo,1866,Sim,Não,Não,Sim
95640,São Paulo,2000,Sim,Não,Não,Não
95641,São Paulo,1700,Sim,Não,Não,Sim
95643,São Paulo,1975,Sim,Não,Não,Não
95651,São Paulo,1350,Sim,Não,Não,Não
95658,São Paulo,833,Sim,Não,Sim,Sim
95659,São Paulo,1407,Sim,Não,Não,Não
95660,São Paulo,650,Sim,Sim,Não,Sim
95663,São Paulo,1200,Sim,Não,Não,Não
95666,São Paulo,384,Sim,Sim,Não,Não
95669,São Paulo,1400,Sim,Não,Não,Não
95672,São Paulo,2050,Sim,Não,Não,Não
95674,São Paulo,950,Sim,Não,Não,Não
95675,São Paulo,2200,Sim,Não,Não,Não
95677,São Paulo,1500,Sim,Sim,Não,Sim
95679,São Paulo,700,Sim,Não,Não,Sim
95684,São Paulo,2450,Sim,Não,Não,Sim
95687,São Paulo,775,Sim,Não,Não,Sim
95692,São Paulo,394,Sim,Não,Não,Não
95694,São Paulo,3000,Sim,Não,Sim,Sim
95695,São Paulo,293,Sim,Sim,Não,Sim
95697,São Paulo,1366,Sim,Não,Não,Sim
95699,São Paulo,1283,Sim,Não,Sim,Sim
95701,São Paulo,692,Sim,Sim,Não,Não
95703,São Paulo,50,Sim,Não,Sim,Sim
95704,São Paulo,630,Sim,Não,Sim,Sim
95711,São Paulo,650,Sim,Não,Sim,Sim
95712,São Paulo,600,Sim,Não,Não,Não
95714,São Paulo,366,Sim,Sim,Não,Não
95715,São Paulo,1325,Sim,Não,Sim,Sim
95716,São Paulo,750,Sim,Sim,Não,Não
95717,São Paulo,1296,Sim,Não,Não,Não
95719,São Paulo,274,Sim,Não,Não,Não
95721,São Paulo,160,Sim,Não,Sim,Sim
95722,São Paulo,2000,Sim,Não,Não,Não
95728,São Paulo,515,Sim,Não,Sim,Sim
95729,São Paulo,375,Sim,Sim,Não,Não
95731,São Paulo,1525,Sim,Não,Não,Não
95732,São Paulo,1125,Sim,Não,Sim,Sim
95733,São Paulo,400,Sim,Não,Não,Não
95738,São Paulo,1966,Sim,Não,Não,Não
95739,São Paulo,3000,Sim,Sim,Não,Sim
95741,São Paulo,1821,Sim,Sim,Não,Sim
95744,São Paulo,262,Sim,Não,Não,Não
95745,São Paulo,893,Sim,Não,Não,Não
95746,São Paulo,600,Sim,Não,Não,Não
95747,São Paulo,394,Sim,Não,Não,Não
95754,São Paulo,1333,Sim,Não,Sim,Sim
95781,São Paulo,4500,Sim,Não,Não,Não
95783,São Paulo,3100,Sim,Não,Não,Sim
95796,São Paulo,1194,Sim,Não,Não,Não
95801,São Paulo,2000,Sim,Não,Não,Sim
95804,São Paulo,580,Sim,Não,Não,Não
95808,São Paulo,714,Sim,Sim,Não,Não
95814,São Paulo,1100,Sim,Não,Não,Sim
95816,São Paulo,800,Sim,Não,Não,Não
95817,São Paulo,1400,Sim,Sim,Não,Não
95823,São Paulo,750,Sim,Não,Não,Não
95824,São Paulo,3600,Sim,Não,Não,Não
95828,São Paulo,800,Sim,Não,Não,Não
95832,São Paulo,766,Sim,Não,Não,Não
95833,São Paulo,566,Sim,Não,Não,Não
95834,São Paulo,333,Sim,Não,Não,Não
95836,São Paulo,429,Sim,Não,Não,Não
95837,São Paulo,375,Sim,Não,Não,Não
95839,São Paulo,1850,Sim,Não,Não,Não
95841,São Paulo,866,Sim,Não,Não,Não
95842,São Paulo,788,Sim,Sim,Não,Não
95847,São Paulo,3450,Sim,Não,Não,Não
95850,São Paulo,450,Sim,Sim,Não,Não
95852,São Paulo,1450,Sim,Não,Não,Não
95853,São Paulo,500,Sim,Não,Não,Não
95854,São Paulo,2000,Sim,Não,Não,Não
95856,São Paulo,333,Sim,Não,Não,Não
95858,São Paulo,1052,Sim,Não,Não,Não
95860,São Paulo,750,Sim,Não,Não,Não
95861,São Paulo,2200,Sim,Não,Não,Não
95863,São Paulo,1950,Sim,Não,Não,Não
95864,São Paulo,750,Sim,Não,Não,Não
95865,São Paulo,2300,Sim,Não,Sim,Sim
95866,São Paulo,600,Sim,Não,Não,Não
95868,São Paulo,1350,Sim,Não,Sim,Sim
95871,São Paulo,400,Sim,Não,Não,Não
95872,São Paulo,600,Sim,Não,Não,Não
95873,São Paulo,666,Sim,Sim,Não,Não
95874,São Paulo,2400,Sim,Não,Não,Não
95876,São Paulo,1325,Sim,Não,Não,Não
95877,São Paulo,2166,Sim,Não,Não,Sim
95878,São Paulo,631,Sim,Não,Não,Não
95879,São Paulo,900,Sim,Não,Não,Não
95881,São Paulo,1650,Sim,Não,Não,Não
95882,São Paulo,766,Sim,Sim,Não,Não
95884,São Paulo,1100,Sim,Sim,Não,Não
95886,São Paulo,1210,Sim,Não,Não,Não
95887,São Paulo,3000,Sim,Não,Não,Não
95888,São Paulo,1100,Sim,Não,Não,Não
95890,São Paulo,1000,Sim,Não,Não,Não
95891,São Paulo,1000,Sim,Não,Não,Não
95893,São Paulo,1523,Sim,Sim,Não,Não
95894,São Paulo,800,Sim,Não,Não,Não
95895,São Paulo,1366,Sim,Não,Não,Não
95896,São Paulo,750,Sim,Sim,Não,Não
95897,São Paulo,394,Sim,Não,Não,Não
95898,São Paulo,882,Sim,Não,Não,Não
95899,São Paulo,1500,Sim,Não,Não,Não
95900,São Paulo,1196,Sim,Não,Não,Não
95902,São Paulo,1596,Sim,Não,Não,Não
95905,São Paulo,1863,Sim,Não,Não,Não
95906,São Paulo,663,Sim,Sim,Sim,Sim
95907,São Paulo,1300,Sim,Não,Não,Não
95908,São Paulo,1000,Sim,Não,Não,Não
95909,São Paulo,1250,Sim,Não,Não,Não
95912,São Paulo,1793,Sim,Não,Não,Não
95913,São Paulo,800,Sim,Não,Não,Não
95914,São Paulo,3000,Sim,Não,Não,Não
95915,São Paulo,1375,Sim,Não,Não,Não
95916,São Paulo,1543,Sim,Sim,Não,Não
95918,São Paulo,1066,Sim,Sim,Não,Não
95919,São Paulo,950,Sim,Não,Não,Não
95920,São Paulo,750,Sim,Não,Não,Não
95921,São Paulo,615,Sim,Não,Não,Não
95922,São Paulo,1145,Sim,Sim,Não,Não
95925,São Paulo,1166,Sim,Não,Não,Não
95929,São Paulo,550,Sim,Não,Não,Não
95930,São Paulo,1233,Sim,Sim,Não,Não
95931,São Paulo,1000,Sim,Não,Não,Não
95932,São Paulo,1486,Sim,Sim,Não,Não
95934,São Paulo,619,Sim,Sim,Não,Não
95935,São Paulo,1000,Sim,Não,Não,Não
95939,São Paulo,512,Sim,Não,Não,Não
95941,São Paulo,1150,Sim,Não,Não,Não
95943,São Paulo,1500,Sim,Não,Não,Não
95944,São Paulo,667,Sim,Não,Não,Não
95945,São Paulo,1350,Sim,Sim,Não,Não
95946,São Paulo,1500,Sim,Não,Não,Não
95947,São Paulo,1070,Sim,Não,Não,Não
95948,São Paulo,1425,Sim,Não,Não,Não
95949,São Paulo,1375,Sim,Não,Não,Não
95952,São Paulo,600,Sim,Não,Não,Sim
95953,São Paulo,1075,Sim,Não,Não,Sim
95956,São Paulo,1096,Sim,Não,Não,Não
95957,São Paulo,1600,Sim,Sim,Não,Não
95958,São Paulo,500,Sim,Não,Não,Sim
95960,São Paulo,496,Sim,Sim,Não,Sim
95962,São Paulo,1120,Sim,Sim,Não,Sim
95963,São Paulo,685,Sim,Não,Não,Sim
95964,São Paulo,788,Sim,Sim,Sim,Sim
95965,São Paulo,1700,Sim,Não,Não,Não
95967,São Paulo,1988,Sim,Sim,Não,Não
95970,São Paulo,1150,Sim,Não,Não,Sim
95972,São Paulo,1850,Sim,Sim,Não,Não
95975,São Paulo,181,Sim,Sim,Não,Não
95976,São Paulo,800,Sim,Não,Não,Sim
95979,São Paulo,866,Sim,Não,Não,Não
95980,São Paulo,2594,Sim,Não,Sim,Sim
95981,São Paulo,2333,Sim,Não,Não,Sim
95982,São Paulo,6000,Sim,Sim,Não,Sim
95986,São Paulo,480,Sim,Sim,Não,Não
95987,São Paulo,1469,Sim,Não,Sim,Sim
95989,São Paulo,762,Sim,Não,Não,Sim
95990,São Paulo,6400,Sim,Não,Sim,Sim
95991,São Paulo,1166,Sim,Não,Não,Sim
95993,São Paulo,879,Sim,Sim,Não,Sim
95994,São Paulo,466,Sim,Não,Não,Sim
95995,São Paulo,1066,Sim,Não,Não,Sim
95997,São Paulo,1025,Sim,Não,Não,Não
95998,São Paulo,1750,Sim,Não,Não,Não
96000,São Paulo,1183,Sim,Não,Não,Sim
96007,São Paulo,1344,Sim,Sim,Não,Não
96010,São Paulo,1006,Sim,Não,Não,Sim
96014,São Paulo,1100,Sim,Não,Não,Não
96018,São Paulo,1950,Sim,Sim,Não,Sim
96019,São Paulo,1050,Sim,Não,Não,Não
96021,São Paulo,1116,Sim,Não,Não,Não
96022,São Paulo,850,Sim,Não,Não,Sim
96023,São Paulo,800,Sim,Não,Não,Sim
96025,São Paulo,1044,Sim,Não,Não,Não
96026,São Paulo,895,Sim,Sim,Não,Não
96027,São Paulo,1225,Sim,Não,Não,Não
96029,São Paulo,1837,Sim,Não,Não,Sim
96030,São Paulo,433,Sim,Sim,Não,Não
96031,São Paulo,450,Sim,Não,Não,Sim
96032,São Paulo,0,Sim,Sim,Não,Não
96033,São Paulo,1025,Sim,Não,Sim,Sim
96042,São Paulo,875,Sim,Não,Sim,Sim
96043,São Paulo,505,Sim,Não,Não,Não
96051,São Paulo,570,Sim,Não,Não,Não
96053,São Paulo,109,Sim,Sim,Não,Não
96054,São Paulo,36,Sim,Sim,Não,Não
96057,São Paulo,1009,Sim,Não,Não,Sim
96058,São Paulo,605,Sim,Sim,Não,Não
96063,São Paulo,1400,Sim,Não,Não,Não
96064,São Paulo,366,Sim,Sim,Não,Não
96065,São Paulo,455,Sim,Sim,Não,Não
96068,São Paulo,82,Sim,Sim,Não,Não
96069,São Paulo,844,Sim,Não,Não,Não
96071,São Paulo,947,Sim,Sim,Não,Não
96073,São Paulo,875,Sim,Não,Não,Sim
96084,São Paulo,1983,Sim,Não,Não,Não
96086,São Paulo,266,Sim,Sim,Não,Não
96090,São Paulo,450,Sim,Não,Não,Não
96093,São Paulo,192,Sim,Sim,Não,Não
96097,São Paulo,213,Sim,Não,Não,Sim
96102,São Paulo,228,Sim,Não,Sim,Sim
96106,São Paulo,591,Sim,Não,Não,Sim
96112,São Paulo,460,Sim,Sim,Não,Não
96114,São Paulo,788,Sim,Não,Sim,Sim
96115,São Paulo,1700,Sim,Sim,Não,Não
96119,São Paulo,1280,Sim,Sim,Não,Não
96120,São Paulo,788,Sim,Sim,Não,Não
96122,São Paulo,566,Sim,Não,Não,Não
96124,São Paulo,1683,Sim,Não,Não,Não
96125,São Paulo,566,Sim,Não,Não,Não
96128,São Paulo,625,Sim,Não,Não,Não
96131,São Paulo,6300,Sim,Não,Não,Não
96134,São Paulo,1433,Sim,Não,Não,Sim
96139,São Paulo,957,Sim,Não,Não,Não
96141,São Paulo,1300,Sim,Sim,Não,Não
96143,São Paulo,800,Sim,Não,Não,Não
96146,São Paulo,800,Sim,Sim,Não,Não
96148,São Paulo,4300,Sim,Não,Não,Não
96152,São Paulo,1150,Sim,Não,Não,Sim
96155,São Paulo,4000,Sim,Não,Não,Não
96156,São Paulo,2750,Sim,Não,Não,Não
96158,São Paulo,1150,Sim,Não,Não,Não
96159,São Paulo,2640,Sim,Não,Não,Não
96160,São Paulo,3200,Sim,Não,Não,Sim
96161,São Paulo,5265,Sim,Não,Não,Sim
96162,São Paulo,6700,Sim,Não,Não,Não
96163,São Paulo,3400,Sim,Não,Não,Não
96166,São Paulo,3050,Sim,Não,Não,Não
96167,São Paulo,3240,Sim,Não,Não,Não
96168,São Paulo,5000,Sim,Não,Não,Não
96170,São Paulo,11700,Sim,Não,Não,Não
96180,São Paulo,590,Sim,Não,Não,Não
96181,São Paulo,1300,Sim,Não,Não,Não
96182,São Paulo,1640,Sim,Não,Não,Não
96186,São Paulo,1000,Sim,Não,Não,Não
96189,São Paulo,557,Sim,Sim,Não,Não
96190,São Paulo,1000,Sim,Não,Não,Não
96191,São Paulo,1125,Sim,Não,Não,Não
96192,São Paulo,600,Sim,Não,Não,Não
96195,São Paulo,700,Sim,Sim,Não,Não
96196,São Paulo,422,Sim,Sim,Não,Não
96197,São Paulo,2060,Sim,Não,Não,Não
96200,São Paulo,1017,Sim,Não,Não,Não
96202,São Paulo,480,Sim,Não,Não,Não
96203,São Paulo,537,Sim,Não,Não,Sim
96204,São Paulo,1285,Sim,Não,Não,Não
96205,São Paulo,693,Sim,Sim,Não,Não
96206,São Paulo,1247,Sim,Não,Não,Não
96208,São Paulo,725,Sim,Não,Não,Sim
96209,São Paulo,1100,Sim,Sim,Não,Não
96212,São Paulo,375,Sim,Não,Não,Não
96216,São Paulo,397,Sim,Não,Não,Sim
96217,São Paulo,2550,Sim,Não,Sim,Sim
96221,São Paulo,1950,Sim,Não,Não,Não
96225,São Paulo,700,Sim,Sim,Não,Não
96227,São Paulo,525,Sim,Não,Não,Não
96230,São Paulo,1500,Sim,Não,Não,Sim
96231,São Paulo,757,Sim,Não,Não,Não
96233,São Paulo,496,Sim,Não,Sim,Sim
96235,São Paulo,754,Sim,Não,Não,Não
96237,São Paulo,1150,Sim,Não,Não,Sim
96238,São Paulo,350,Sim,Sim,Não,Sim
96240,São Paulo,306,Sim,Não,Não,Sim
96241,São Paulo,1092,Sim,Não,Sim,Sim
96242,São Paulo,525,Sim,Sim,Não,Não
96243,São Paulo,1576,Sim,Não,Sim,Sim
96245,São Paulo,900,Sim,Não,Não,Sim
96246,São Paulo,450,Sim,Não,Não,Sim
96247,São Paulo,2116,Sim,Não,Não,Sim
96248,São Paulo,1360,Sim,Não,Não,Sim
96249,São Paulo,2550,Sim,Não,Não,Sim
96250,São Paulo,1726,Sim,Não,Não,Sim
96252,São Paulo,763,Sim,Não,Não,Sim
96253,São Paulo,2137,Sim,Não,Não,Sim
96258,São Paulo,1980,Sim,Não,Não,Sim
96262,São Paulo,576,Sim,Sim,Não,Não
96264,São Paulo,2100,Sim,Sim,Não,Não
96265,São Paulo,485,Sim,Não,Não,Não
96267,São Paulo,541,Sim,Não,Não,Sim
96268,São Paulo,691,Sim,Sim,Não,Não
96271,São Paulo,700,Sim,Não,Não,Sim
96272,São Paulo,150,Sim,Sim,Não,Sim
96276,São Paulo,722,Sim,Sim,Não,Não
96278,São Paulo,1240,Sim,Não,Sim,Sim
96281,São Paulo,756,Sim,Não,Não,Não
96282,São Paulo,647,Sim,Não,Não,Não
96287,São Paulo,616,Sim,Sim,Não,Não
96289,São Paulo,1866,Sim,Não,Não,Não
96291,São Paulo,500,Sim,Sim,Não,Não
96292,São Paulo,1200,Sim,Não,Não,Não
96293,São Paulo,0,Sim,Não,Sim,Sim
96294,São Paulo,1100,Sim,Não,Não,Não
96297,São Paulo,5250,Sim,Não,Não,Não
96300,São Paulo,450,Sim,Não,Não,Não
96301,São Paulo,850,Sim,Sim,Não,Não
96303,São Paulo,2000,Sim,Sim,Não,Não
96304,São Paulo,2100,Sim,Não,Não,Não
96306,São Paulo,666,Sim,Não,Não,Não
96307,São Paulo,1785,Sim,Sim,Não,Não
96312,São Paulo,526,Sim,Sim,Não,Não
96313,São Paulo,1600,Sim,Sim,Não,Não
96314,São Paulo,3000,Sim,Não,Não,Não
96315,São Paulo,1800,Sim,Não,Não,Não
96316,São Paulo,2333,Sim,Não,Não,Não
96317,São Paulo,575,Sim,Não,Não,Não
96319,São Paulo,1000,Sim,Não,Não,Não
96321,São Paulo,313,Sim,Não,Sim,Sim
96325,São Paulo,1200,Sim,Sim,Não,Não
96327,São Paulo,775,Sim,Não,Não,Não
96328,São Paulo,376,Sim,Sim,Não,Não
96330,São Paulo,1662,Sim,Não,Não,Não
96331,São Paulo,482,Sim,Sim,Não,Não
96332,São Paulo,750,Sim,Sim,Não,Não
96333,São Paulo,266,Sim,Não,Não,Não
96334,São Paulo,1210,Sim,Não,Não,Não
96338,São Paulo,875,Sim,Não,Não,Não
96339,São Paulo,1333,Sim,Não,Não,Não
96341,São Paulo,1333,Sim,Não,Não,Não
96342,São Paulo,1000,Sim,Sim,Não,Não
96343,São Paulo,396,Sim,Não,Não,Não
96344,São Paulo,1600,Sim,Sim,Não,Não
96345,São Paulo,394,Sim,Sim,Não,Não
96346,São Paulo,1294,Sim,Sim,Não,Não
96348,São Paulo,2000,Sim,Não,Não,Não
96349,São Paulo,3500,Sim,Sim,Não,Não
96351,São Paulo,833,Sim,Não,Não,Não
96352,São Paulo,1533,Sim,Sim,Não,Não
96353,São Paulo,560,Sim,Não,Não,Não
96354,São Paulo,1866,Sim,Não,Não,Não
96356,São Paulo,675,Sim,Não,Não,Não
96357,São Paulo,1830,Sim,Não,Não,Não
96359,São Paulo,1450,Sim,Sim,Não,Não
96360,São Paulo,537,Sim,Sim,Não,Não
96361,São Paulo,1369,Sim,Não,Não,Não
96364,São Paulo,400,Sim,Sim,Não,Não
96366,São Paulo,1166,Sim,Não,Não,Não
96367,São Paulo,1375,Sim,Não,Não,Não
96369,São Paulo,943,Sim,Não,Não,Não
96370,São Paulo,800,Sim,Sim,Não,Não
96371,São Paulo,637,Sim,Não,Não,Não
96372,São Paulo,900,Sim,Sim,Não,Sim
96373,São Paulo,500,Sim,Não,Não,Não
96375,São Paulo,200,Sim,Não,Não,Não
96378,São Paulo,250,Sim,Sim,Não,Não
96380,São Paulo,595,Sim,Sim,Não,Não
96381,São Paulo,766,Sim,Sim,Não,Não
96382,São Paulo,600,Sim,Não,Não,Não
96384,São Paulo,2125,Sim,Não,Não,Não
96388,São Paulo,250,Sim,Não,Sim,Sim
96397,São Paulo,1150,Sim,Não,Não,Não
96402,São Paulo,1394,Sim,Sim,Não,Não
96405,São Paulo,1750,Sim,Não,Não,Sim
96406,São Paulo,925,Sim,Não,Não,Não
96407,São Paulo,1929,Sim,Não,Não,Não
96408,São Paulo,1900,Sim,Não,Não,Não
96409,São Paulo,1304,Sim,Não,Não,Não
96411,São Paulo,1540,Sim,Não,Não,Não
96412,São Paulo,895,Sim,Não,Sim,Sim
96413,São Paulo,850,Sim,Não,Sim,Sim
96414,São Paulo,900,Sim,Não,Não,Não
96415,São Paulo,822,Sim,Não,Não,Não
96416,São Paulo,1800,Sim,Não,Não,Não
96417,São Paulo,3220,Sim,Não,Não,Não
96418,São Paulo,3000,Sim,Não,Não,Não
96419,São Paulo,566,Sim,Não,Não,Não
96421,São Paulo,1350,Sim,Não,Não,Não
96423,São Paulo,1500,Sim,Não,Sim,Sim
96424,São Paulo,1219,Sim,Sim,Não,Não
96425,São Paulo,900,Sim,Sim,Não,Não
96426,São Paulo,750,Sim,Não,Não,Não
96427,São Paulo,1250,Sim,Não,Não,Não
96428,São Paulo,7000,Sim,Não,Não,Não
96429,São Paulo,1475,Sim,Não,Não,Não
96430,São Paulo,725,Sim,Não,Não,Não
96432,São Paulo,841,Sim,Não,Não,Não
96434,São Paulo,1240,Sim,Não,Não,Não
96435,São Paulo,2400,Sim,Não,Não,Não
96437,São Paulo,697,Sim,Sim,Não,Não
96438,São Paulo,675,Sim,Não,Não,Sim
96441,São Paulo,4000,Sim,Não,Não,Não
