,UF,V02322,V0210,V4105,V0232
747,11,2.0,2.0,1,2.0
749,11,2.0,2.0,1,4.0
752,11,2.0,2.0,1,2.0
754,11,2.0,2.0,1,2.0
755,11,2.0,2.0,1,2.0
756,11,2.0,2.0,1,2.0
766,11,2.0,2.0,1,2.0
768,11,2.0,2.0,1,2.0
770,11,2.0,2.0,1,2.0
772,11,2.0,2.0,1,2.0
775,11,2.0,2.0,1,2.0
780,11,2.0,2.0,1,2.0
781,11,2.0,2.0,1,2.0
783,11,4.0,2.0,1,4.0
787,11,2.0,2.0,1,2.0
789,11,4.0,2.0,1,4.0
790,11,2.0,2.0,1,2.0
794,11,2.0,2.0,1,2.0
795,11,2.0,2.0,1,2.0
796,11,2.0,2.0,1,2.0
799,11,2.0,2.0,1,2.0
800,11,2.0,2.0,1,2.0
802,11,2.0,2.0,1,2.0
807,11,2.0,2.0,1,2.0
815,11,2.0,2.0,1,4.0
819,11,2.0,2.0,1,2.0
822,11,2.0,2.0,1,4.0
828,11,2.0,2.0,1,4.0
831,11,2.0,2.0,1,2.0
833,11,2.0,2.0,1,2.0
841,11,2.0,2.0,1,2.0
843,11,2.0,2.0,2,2.0
851,11,2.0,2.0,2,2.0
856,11,2.0,2.0,2,2.0
860,11,4.0,2.0,2,4.0
861,11,2.0,2.0,2,2.0
862,11,2.0,2.0,2,2.0
866,11,4.0,2.0,2,4.0
870,11,2.0,2.0,2,2.0
871,11,2.0,2.0,2,2.0
874,11,2.0,2.0,2,4.0
875,11,2.0,2.0,2,2.0
880,11,2.0,2.0,1,2.0
893,11,4.0,2.0,1,4.0
897,11,2.0,2.0,1,2.0
910,11,2.0,2.0,1,2.0
913,11,2.0,2.0,1,2.0
919,11,2.0,2.0,1,2.0
927,11,2.0,2.0,1,2.0
932,11,2.0,2.0,8,2.0
934,11,2.0,2.0,8,2.0
950,11,2.0,2.0,8,2.0
951,11,2.0,2.0,8,2.0
969,11,2.0,2.0,1,2.0
972,11,2.0,2.0,1,2.0
973,11,2.0,2.0,1,2.0
974,11,2.0,2.0,1,2.0
976,11,4.0,2.0,1,4.0
979,11,2.0,2.0,1,2.0
983,11,2.0,2.0,1,2.0
986,11,2.0,2.0,1,2.0
987,11,2.0,2.0,1,2.0
988,11,2.0,2.0,1,2.0
992,11,2.0,2.0,1,2.0
999,11,2.0,2.0,1,4.0
1001,11,2.0,2.0,1,2.0
1003,11,4.0,2.0,1,4.0
1005,11,2.0,2.0,1,2.0
1007,11,2.0,2.0,1,2.0
1010,11,2.0,2.0,1,4.0
1012,11,2.0,2.0,1,2.0
1014,11,2.0,2.0,1,2.0
1015,11,2.0,2.0,1,2.0
1016,11,2.0,4.0,1,4.0
1017,11,2.0,2.0,1,2.0
1019,11,2.0,2.0,1,2.0
1031,11,2.0,2.0,8,2.0
1032,11,2.0,2.0,8,2.0
1045,11,4.0,2.0,8,4.0
1047,11,4.0,2.0,8,4.0
1050,11,4.0,2.0,8,4.0
1051,11,2.0,2.0,1,2.0
1052,11,4.0,2.0,1,4.0
1056,11,2.0,2.0,1,2.0
1058,11,2.0,2.0,1,2.0
1062,11,2.0,2.0,1,2.0
1067,11,2.0,2.0,1,2.0
1068,11,2.0,2.0,1,2.0
1072,11,2.0,2.0,1,2.0
1074,11,2.0,2.0,1,2.0
1078,11,2.0,2.0,1,2.0
1080,11,2.0,2.0,1,2.0
1083,11,2.0,2.0,1,4.0
1084,11,2.0,2.0,1,2.0
1088,11,4.0,2.0,1,4.0
1089,11,2.0,2.0,1,2.0
1090,11,2.0,2.0,1,4.0
1092,11,2.0,2.0,1,2.0
1096,11,2.0,2.0,1,2.0
1099,11,2.0,2.0,1,2.0
1101,11,2.0,2.0,1,2.0
1103,11,2.0,2.0,1,2.0
1104,11,4.0,2.0,1,4.0
1109,11,4.0,2.0,1,4.0
1110,11,2.0,2.0,1,2.0
1112,11,2.0,2.0,1,2.0
1113,11,2.0,2.0,1,2.0
1114,11,2.0,2.0,1,2.0
