,UF,V02322,V0210,V4105,V0232
3,11,2.0,2.0,1,2.0
5,11,2.0,2.0,1,2.0
10,11,2.0,2.0,1,2.0
11,11,2.0,2.0,1,2.0
18,11,2.0,2.0,1,2.0
19,11,2.0,2.0,1,2.0
20,11,2.0,2.0,1,2.0
27,11,2.0,2.0,1,2.0
28,11,2.0,2.0,1,2.0
31,11,2.0,2.0,1,2.0
33,11,2.0,2.0,1,2.0
42,11,2.0,2.0,1,2.0
44,11,2.0,2.0,1,2.0
48,11,4.0,2.0,1,4.0
50,11,2.0,2.0,1,2.0
52,11,4.0,2.0,1,4.0
67,11,4.0,2.0,1,4.0
72,11,2.0,2.0,1,4.0
74,11,2.0,2.0,1,2.0
79,11,2.0,2.0,1,2.0
87,11,2.0,2.0,1,2.0
93,11,2.0,2.0,1,2.0
112,11,2.0,2.0,1,4.0
114,11,4.0,2.0,1,4.0
116,11,2.0,2.0,1,2.0
124,11,2.0,2.0,8,4.0
139,11,2.0,2.0,1,2.0
140,11,2.0,2.0,1,2.0
161,11,2.0,2.0,1,2.0
167,11,2.0,2.0,1,2.0
176,11,2.0,2.0,1,2.0
178,11,4.0,2.0,1,4.0
179,11,2.0,2.0,1,2.0
180,11,2.0,2.0,1,2.0
183,11,4.0,2.0,1,4.0
188,11,4.0,2.0,1,4.0
189,11,2.0,2.0,1,2.0
191,11,2.0,2.0,1,2.0
204,11,4.0,2.0,8,4.0
207,11,2.0,2.0,8,2.0
229,11,2.0,2.0,1,2.0
232,11,2.0,2.0,1,2.0
234,11,4.0,2.0,1,4.0
237,11,2.0,2.0,1,2.0
240,11,2.0,2.0,1,2.0
243,11,2.0,2.0,1,2.0
245,11,2.0,2.0,1,2.0
247,11,2.0,2.0,1,2.0
249,11,2.0,2.0,1,2.0
257,11,2.0,2.0,1,2.0
272,11,2.0,2.0,1,2.0
273,11,4.0,2.0,1,4.0
278,11,2.0,2.0,1,2.0
280,11,2.0,2.0,1,2.0
284,11,2.0,2.0,1,2.0
294,11,2.0,2.0,1,2.0
297,11,2.0,2.0,1,2.0
298,11,2.0,2.0,1,2.0
304,11,2.0,2.0,1,2.0
306,11,2.0,2.0,1,2.0
308,11,2.0,2.0,1,2.0
315,11,4.0,2.0,1,4.0
318,11,2.0,2.0,1,2.0
321,11,2.0,2.0,1,4.0
323,11,2.0,2.0,1,2.0
325,11,2.0,2.0,1,2.0
329,11,2.0,2.0,1,2.0
330,11,2.0,2.0,1,2.0
333,11,2.0,2.0,1,2.0
335,11,4.0,2.0,1,4.0
342,11,2.0,2.0,1,2.0
346,11,4.0,2.0,1,4.0
349,11,2.0,2.0,1,2.0
350,11,2.0,2.0,1,2.0
353,11,4.0,2.0,1,4.0
355,11,2.0,2.0,1,2.0
356,11,2.0,4.0,1,2.0
357,11,2.0,2.0,1,2.0
363,11,4.0,2.0,8,4.0
396,11,2.0,2.0,1,2.0
401,11,2.0,2.0,1,2.0
403,11,2.0,2.0,1,2.0
405,11,4.0,2.0,1,4.0
406,11,2.0,4.0,1,2.0
411,11,2.0,2.0,1,2.0
412,11,2.0,2.0,1,2.0
421,11,2.0,2.0,1,2.0
422,11,2.0,2.0,1,2.0
427,11,2.0,2.0,8,2.0
440,11,2.0,2.0,8,2.0
445,11,2.0,2.0,1,2.0
447,11,4.0,2.0,1,4.0
455,11,2.0,2.0,1,2.0
480,11,2.0,2.0,1,2.0
484,11,2.0,2.0,1,2.0
489,11,2.0,2.0,1,2.0
525,11,2.0,2.0,1,2.0
534,11,4.0,2.0,1,4.0
