,UF,V02322,V0210,V4105,V0232
535,11,2.0,2.0,1,2.0
536,11,2.0,2.0,1,2.0
538,11,2.0,2.0,1,2.0
540,11,2.0,2.0,1,2.0
549,11,4.0,2.0,1,4.0
550,11,2.0,2.0,1,2.0
552,11,2.0,2.0,1,2.0
554,11,4.0,2.0,1,4.0
561,11,2.0,2.0,1,2.0
592,11,2.0,2.0,1,2.0
596,11,2.0,2.0,1,2.0
600,11,2.0,2.0,1,2.0
619,11,2.0,2.0,1,2.0
629,11,2.0,2.0,1,2.0
635,11,2.0,2.0,1,2.0
637,11,2.0,2.0,1,2.0
638,11,2.0,2.0,1,2.0
646,11,2.0,2.0,1,2.0
648,11,2.0,2.0,1,2.0
672,11,2.0,2.0,1,2.0
674,11,2.0,2.0,1,2.0
675,11,2.0,2.0,1,2.0
678,11,2.0,2.0,1,2.0
681,11,2.0,2.0,1,2.0
683,11,2.0,2.0,1,2.0
686,11,2.0,2.0,1,4.0
689,11,2.0,2.0,1,2.0
691,11,2.0,2.0,1,2.0
694,11,2.0,2.0,1,2.0
701,11,2.0,2.0,1,2.0
705,11,2.0,2.0,1,2.0
709,11,2.0,2.0,1,2.0
717,11,2.0,2.0,1,2.0
722,11,2.0,2.0,1,2.0
724,11,2.0,2.0,1,2.0
726,11,2.0,2.0,1,2.0
733,11,2.0,2.0,1,2.0
745,11,2.0,2.0,1,2.0
749,11,2.0,2.0,1,2.0
753,11,2.0,2.0,1,2.0
761,11,2.0,2.0,1,2.0
765,11,2.0,2.0,1,2.0
771,11,2.0,2.0,1,2.0
775,11,2.0,2.0,1,2.0
778,11,2.0,2.0,1,2.0
783,11,2.0,2.0,1,2.0
788,11,2.0,2.0,1,2.0
796,11,2.0,2.0,1,2.0
797,11,2.0,2.0,1,2.0
798,11,2.0,2.0,1,2.0
799,11,2.0,2.0,1,2.0
800,11,2.0,2.0,1,2.0
805,11,2.0,2.0,1,2.0
806,11,2.0,2.0,1,2.0
816,11,4.0,2.0,1,4.0
822,11,2.0,2.0,1,2.0
828,11,2.0,2.0,1,2.0
836,11,2.0,2.0,1,2.0
848,11,4.0,2.0,2,4.0
857,11,2.0,2.0,2,4.0
858,11,2.0,2.0,2,2.0
862,11,2.0,2.0,2,2.0
873,11,2.0,2.0,2,2.0
876,11,2.0,2.0,2,2.0
878,11,2.0,2.0,1,2.0
885,11,2.0,2.0,1,2.0
904,11,2.0,2.0,1,2.0
910,11,2.0,2.0,1,2.0
912,11,2.0,2.0,1,2.0
914,11,2.0,2.0,1,2.0
916,11,4.0,2.0,1,4.0
933,11,2.0,2.0,8,2.0
934,11,4.0,2.0,8,4.0
940,11,2.0,2.0,8,4.0
949,11,4.0,2.0,8,4.0
951,11,2.0,2.0,8,2.0
953,11,2.0,2.0,8,2.0
968,11,4.0,2.0,8,4.0
983,11,4.0,2.0,1,4.0
986,11,2.0,2.0,1,2.0
990,11,2.0,2.0,1,2.0
993,11,2.0,2.0,1,2.0
994,11,4.0,2.0,1,4.0
997,11,2.0,2.0,1,2.0
999,11,2.0,2.0,1,2.0
1000,11,2.0,2.0,1,2.0
1002,11,2.0,2.0,1,2.0
1004,11,2.0,2.0,1,2.0
1006,11,2.0,2.0,1,2.0
1007,11,2.0,2.0,1,2.0
1011,11,4.0,2.0,1,4.0
1012,11,2.0,2.0,1,2.0
1018,11,2.0,2.0,1,2.0
1019,11,2.0,2.0,1,2.0
1024,11,2.0,2.0,1,2.0
1030,11,2.0,2.0,8,2.0
1033,11,2.0,2.0,8,2.0
1053,11,2.0,2.0,1,2.0
1055,11,2.0,2.0,1,2.0
1060,11,2.0,2.0,1,2.0
1061,11,2.0,2.0,1,2.0
1063,11,2.0,2.0,1,2.0
1064,11,2.0,2.0,1,2.0
1067,11,2.0,2.0,1,2.0
1069,11,2.0,2.0,1,2.0
1070,11,2.0,2.0,1,2.0
1072,11,2.0,2.0,1,2.0
1076,11,2.0,2.0,1,2.0
1078,11,2.0,2.0,1,4.0
1081,11,2.0,2.0,1,2.0
1083,11,2.0,2.0,1,2.0
1084,11,2.0,2.0,1,2.0
1086,11,2.0,2.0,1,2.0
1092,11,2.0,2.0,1,2.0
1103,11,2.0,2.0,1,2.0
1104,11,2.0,2.0,1,2.0
1106,11,2.0,2.0,1,2.0
1113,11,2.0,2.0,1,4.0
1114,11,2.0,2.0,1,2.0
1116,11,2.0,2.0,1,2.0
1123,11,2.0,2.0,1,2.0
1127,11,2.0,2.0,8,2.0
1141,11,4.0,2.0,8,4.0
1145,11,2.0,2.0,1,2.0
1158,11,2.0,2.0,1,2.0
1166,11,2.0,2.0,1,2.0
1181,11,2.0,2.0,8,2.0
1188,11,4.0,2.0,8,4.0
1200,11,4.0,2.0,8,4.0
1206,11,2.0,2.0,8,2.0
1208,11,4.0,2.0,8,4.0
1224,11,2.0,2.0,1,2.0
1230,11,2.0,2.0,1,2.0
1235,11,2.0,2.0,1,2.0
1236,11,2.0,2.0,1,2.0
1237,11,2.0,2.0,1,2.0
1243,11,2.0,2.0,1,2.0
1248,11,2.0,2.0,1,2.0
1254,11,2.0,2.0,1,2.0
1256,11,2.0,2.0,1,2.0
1261,11,2.0,2.0,1,2.0
1264,11,2.0,4.0,1,2.0
1266,11,2.0,2.0,1,2.0
1269,11,2.0,2.0,1,2.0
1272,11,2.0,4.0,1,2.0
1274,11,2.0,2.0,1,2.0
1276,11,2.0,2.0,1,2.0
1277,11,2.0,2.0,1,2.0
1278,11,2.0,2.0,1,2.0
1287,11,2.0,2.0,1,2.0
1288,11,2.0,2.0,1,2.0
1292,11,2.0,2.0,1,2.0
1294,11,2.0,2.0,1,2.0
1295,11,4.0,2.0,1,4.0
1299,11,2.0,2.0,1,2.0
1301,11,2.0,2.0,1,2.0
1302,11,4.0,2.0,1,4.0
1303,11,2.0,2.0,1,2.0
1304,11,2.0,2.0,1,2.0
1306,11,4.0,2.0,1,4.0
1310,11,2.0,2.0,1,2.0
1314,11,2.0,2.0,1,2.0
1319,11,2.0,2.0,1,2.0
1320,11,2.0,2.0,1,2.0
1322,11,2.0,2.0,1,2.0
1334,11,2.0,2.0,1,2.0
1337,11,4.0,2.0,1,4.0
1338,11,2.0,2.0,1,2.0
1340,11,2.0,2.0,1,2.0
1341,11,4.0,2.0,1,4.0
1344,11,2.0,2.0,1,2.0
1346,11,4.0,2.0,1,4.0
1348,11,2.0,2.0,1,2.0
1354,11,2.0,2.0,1,4.0
1357,11,2.0,2.0,1,2.0
1361,11,2.0,2.0,1,2.0
1365,11,2.0,2.0,1,2.0
1370,11,2.0,2.0,1,2.0
1371,11,2.0,2.0,1,2.0
1372,11,2.0,2.0,1,2.0
1373,11,2.0,2.0,1,2.0
1375,11,2.0,2.0,1,2.0
1376,11,2.0,2.0,1,2.0
1378,11,2.0,2.0,1,2.0
1379,11,2.0,2.0,1,2.0
1380,11,2.0,2.0,1,2.0
1381,11,2.0,2.0,1,2.0
1383,11,2.0,2.0,1,2.0
1384,11,2.0,2.0,1,2.0
1385,11,2.0,2.0,1,2.0
1386,11,2.0,2.0,1,2.0
1388,11,2.0,2.0,1,2.0
1389,11,2.0,2.0,1,2.0
1403,11,2.0,2.0,1,4.0
1404,11,2.0,2.0,1,2.0
1409,11,2.0,2.0,1,2.0
1414,11,2.0,2.0,1,2.0
1418,11,2.0,2.0,1,2.0
1419,11,2.0,2.0,1,2.0
1420,11,2.0,2.0,1,2.0
1421,11,2.0,2.0,1,2.0
1423,11,2.0,2.0,1,2.0
1427,11,2.0,2.0,1,2.0
1429,11,2.0,2.0,1,2.0
1431,11,2.0,2.0,1,2.0
1432,11,2.0,2.0,1,2.0
1434,11,2.0,2.0,1,2.0
1435,11,2.0,2.0,1,2.0
1436,11,2.0,2.0,1,2.0
1442,11,4.0,2.0,1,4.0
1445,11,2.0,2.0,1,2.0
1453,11,2.0,2.0,1,2.0
1460,11,2.0,2.0,1,2.0
1464,11,2.0,2.0,1,2.0
1465,11,4.0,2.0,1,4.0
1469,11,2.0,2.0,1,2.0
1474,11,2.0,2.0,1,2.0
1484,11,2.0,2.0,1,4.0
1488,11,2.0,2.0,1,2.0
1491,11,2.0,2.0,1,2.0
1492,11,2.0,2.0,1,2.0
1493,11,2.0,2.0,1,2.0
1494,11,2.0,2.0,1,2.0
1495,11,2.0,2.0,1,2.0
1498,11,4.0,2.0,1,4.0
1501,11,2.0,2.0,1,2.0
1503,11,2.0,2.0,1,2.0
1504,11,2.0,2.0,1,2.0
1506,11,2.0,2.0,1,2.0
1512,11,2.0,2.0,1,2.0
1526,11,2.0,2.0,1,2.0
1527,11,4.0,2.0,1,4.0
1528,11,2.0,2.0,1,2.0
1529,11,4.0,2.0,1,4.0
1534,11,2.0,4.0,1,2.0
1537,11,2.0,2.0,1,2.0
1538,11,2.0,2.0,1,2.0
1540,11,2.0,2.0,1,2.0
1542,11,2.0,2.0,1,2.0
1543,11,2.0,2.0,1,2.0
1546,11,2.0,2.0,1,2.0
1548,11,2.0,2.0,1,2.0
1551,11,2.0,2.0,1,2.0
1555,11,2.0,2.0,1,2.0
1557,11,2.0,2.0,1,2.0
1558,11,2.0,2.0,1,2.0
1560,11,2.0,2.0,1,2.0
1567,11,2.0,2.0,1,2.0
1570,11,2.0,2.0,1,2.0
1573,11,2.0,2.0,1,2.0
1577,11,2.0,2.0,1,2.0
1578,11,2.0,2.0,1,2.0
1580,11,2.0,2.0,1,2.0
1584,11,2.0,2.0,1,2.0
1594,11,4.0,2.0,1,4.0
1596,11,2.0,2.0,1,2.0
1600,11,2.0,2.0,1,4.0
1606,11,2.0,2.0,1,2.0
1609,11,2.0,2.0,1,2.0
1610,11,2.0,2.0,1,2.0
1614,11,2.0,2.0,1,2.0
1622,11,4.0,2.0,1,4.0
1627,11,2.0,2.0,1,2.0
1628,11,2.0,2.0,1,2.0
1632,11,2.0,2.0,1,2.0
1634,11,2.0,2.0,1,2.0
1635,11,2.0,2.0,1,2.0
1638,11,2.0,2.0,1,2.0
1639,11,2.0,2.0,1,2.0
1640,11,2.0,2.0,1,2.0
1642,11,4.0,2.0,1,4.0
1650,11,2.0,2.0,1,2.0
1655,11,4.0,2.0,1,4.0
1660,11,2.0,2.0,1,2.0
1661,11,4.0,2.0,1,4.0
1663,11,2.0,2.0,1,2.0
1664,11,2.0,2.0,1,2.0
1676,11,2.0,2.0,1,2.0
1677,11,2.0,2.0,1,2.0
1678,11,2.0,2.0,1,2.0
1680,11,2.0,2.0,1,2.0
1682,11,2.0,2.0,1,2.0
1685,11,2.0,4.0,1,2.0
1688,11,2.0,2.0,1,2.0
1691,11,2.0,2.0,1,2.0
1695,11,2.0,2.0,1,2.0
1697,11,2.0,2.0,1,2.0
1699,11,2.0,2.0,1,2.0
1703,11,2.0,2.0,1,2.0
1711,11,2.0,2.0,1,2.0
1713,11,2.0,2.0,1,2.0
1715,11,2.0,2.0,1,2.0
1717,11,2.0,2.0,1,2.0
1718,11,2.0,2.0,1,2.0
1719,11,2.0,2.0,1,2.0
1729,11,2.0,2.0,1,2.0
1733,11,2.0,2.0,1,2.0
1735,11,2.0,2.0,1,2.0
1738,11,2.0,2.0,1,2.0
1739,11,2.0,2.0,1,2.0
1746,11,4.0,2.0,1,4.0
1748,11,2.0,2.0,1,2.0
1752,11,2.0,2.0,1,2.0
1797,11,2.0,2.0,1,2.0
1803,11,2.0,2.0,1,2.0
1812,11,2.0,2.0,1,2.0
1814,11,2.0,2.0,1,2.0
1815,11,2.0,2.0,1,2.0
1817,11,2.0,2.0,1,2.0
1818,11,4.0,2.0,1,4.0
1826,11,2.0,2.0,1,2.0
1828,11,2.0,4.0,1,4.0
1832,11,2.0,2.0,1,2.0
1838,11,2.0,2.0,1,2.0
1840,11,2.0,2.0,1,2.0
1843,11,2.0,2.0,1,2.0
1844,11,2.0,2.0,1,2.0
1846,11,2.0,2.0,1,2.0
1847,11,2.0,2.0,1,2.0
1848,11,2.0,2.0,1,2.0
1851,11,2.0,2.0,1,2.0
1852,11,2.0,2.0,1,2.0
1860,11,2.0,2.0,1,2.0
1861,11,2.0,2.0,1,2.0
1863,11,2.0,2.0,1,2.0
1880,11,4.0,2.0,8,4.0
1890,11,2.0,2.0,8,2.0
1902,11,2.0,2.0,1,2.0
1905,11,2.0,2.0,1,2.0
1911,11,2.0,2.0,1,2.0
1912,11,2.0,2.0,1,2.0
1922,11,2.0,2.0,1,2.0
1926,11,4.0,2.0,1,4.0
1932,11,2.0,2.0,1,2.0
1934,11,2.0,2.0,1,2.0
1937,11,4.0,2.0,1,4.0
1939,11,2.0,2.0,1,2.0
1945,11,2.0,2.0,1,2.0
1960,11,2.0,2.0,1,2.0
1961,11,2.0,2.0,5,2.0
1977,11,2.0,2.0,8,2.0
1982,11,2.0,2.0,8,2.0
1985,11,2.0,2.0,8,2.0
1995,11,2.0,2.0,1,2.0
2001,11,4.0,2.0,1,4.0
2006,11,2.0,2.0,1,2.0
2007,11,4.0,2.0,1,4.0
2010,11,2.0,2.0,1,2.0
2012,11,2.0,2.0,1,2.0
2026,11,2.0,2.0,1,2.0
2030,11,2.0,2.0,1,2.0
2034,11,2.0,2.0,1,2.0
2036,11,2.0,2.0,1,2.0
2049,11,2.0,2.0,1,2.0
2054,11,2.0,2.0,1,2.0
2058,11,2.0,2.0,1,2.0
2065,11,2.0,2.0,2,2.0
2068,11,2.0,2.0,2,2.0
2071,11,2.0,2.0,2,2.0
2073,11,2.0,2.0,2,2.0
2076,11,2.0,2.0,2,2.0
2079,11,2.0,2.0,2,2.0
2081,11,2.0,2.0,2,2.0
2084,11,2.0,2.0,2,2.0
2091,11,2.0,2.0,2,2.0
2099,11,2.0,2.0,2,2.0
2104,11,2.0,2.0,1,2.0
2105,11,2.0,2.0,1,2.0
2114,11,2.0,2.0,1,2.0
2115,11,2.0,2.0,1,2.0
2118,11,2.0,2.0,1,2.0
2122,11,2.0,2.0,1,2.0
2134,11,2.0,2.0,1,2.0
2139,11,2.0,2.0,1,2.0
2143,11,2.0,2.0,1,2.0
2145,11,2.0,2.0,1,2.0
2148,11,2.0,2.0,1,2.0
2150,11,2.0,2.0,1,2.0
2152,11,2.0,2.0,1,2.0
2153,11,2.0,2.0,1,2.0
2166,11,2.0,2.0,1,2.0
2174,11,2.0,2.0,1,2.0
2184,11,4.0,2.0,1,4.0
2185,11,2.0,2.0,1,2.0
2186,11,2.0,2.0,1,2.0
2195,11,2.0,4.0,8,2.0
2217,11,2.0,2.0,8,2.0
2243,11,2.0,2.0,1,2.0
2244,11,2.0,2.0,1,2.0
2251,11,4.0,2.0,1,4.0
2252,11,2.0,2.0,1,2.0
2255,11,2.0,2.0,1,2.0
2257,11,2.0,2.0,1,2.0
2260,11,4.0,2.0,1,4.0
2273,11,4.0,2.0,8,4.0
2290,11,4.0,2.0,8,4.0
2325,11,2.0,2.0,1,4.0
2326,11,2.0,2.0,1,2.0
2328,11,4.0,2.0,1,4.0
2330,11,2.0,2.0,1,2.0
2333,11,2.0,2.0,1,2.0
2336,11,2.0,2.0,1,2.0
2340,11,2.0,2.0,1,2.0
2347,11,2.0,2.0,1,2.0
2375,11,2.0,2.0,1,2.0
2400,11,4.0,2.0,8,4.0
2408,11,2.0,2.0,8,2.0
2411,11,2.0,2.0,8,2.0
2412,11,2.0,2.0,8,2.0
2416,11,2.0,2.0,8,2.0
2425,11,4.0,2.0,8,4.0
2443,11,2.0,2.0,5,2.0
2444,11,2.0,2.0,5,2.0
2449,11,2.0,2.0,5,2.0
2474,11,2.0,4.0,8,2.0
2475,11,4.0,2.0,8,4.0
2489,11,4.0,2.0,1,4.0
2495,11,2.0,2.0,1,2.0
2498,11,2.0,2.0,1,2.0
2506,11,2.0,2.0,8,2.0
2517,11,4.0,4.0,8,4.0
2544,11,4.0,2.0,8,4.0
2551,11,2.0,2.0,8,2.0
2561,11,2.0,2.0,1,2.0
2580,11,2.0,2.0,1,2.0
2582,11,2.0,2.0,1,2.0
2627,11,2.0,2.0,1,2.0
2636,11,4.0,2.0,1,4.0
2646,11,2.0,2.0,1,2.0
2648,11,2.0,2.0,1,2.0
2650,11,2.0,2.0,1,2.0
2651,11,2.0,2.0,1,2.0
2652,11,2.0,2.0,1,2.0
2653,11,2.0,2.0,1,2.0
2657,11,2.0,2.0,1,2.0
2659,11,2.0,2.0,1,2.0
2665,11,2.0,2.0,1,2.0
2670,11,2.0,2.0,1,2.0
2673,11,2.0,2.0,1,2.0
2676,11,2.0,2.0,1,2.0
2680,11,2.0,2.0,8,2.0
2704,11,2.0,2.0,8,2.0
2727,11,2.0,2.0,8,2.0
2728,11,2.0,2.0,1,2.0
2729,11,2.0,2.0,1,2.0
2732,11,2.0,2.0,1,2.0
2733,11,2.0,2.0,1,2.0
2743,11,2.0,2.0,1,2.0
2745,11,2.0,2.0,1,2.0
2754,11,2.0,2.0,1,2.0
2759,11,2.0,2.0,1,2.0
2762,11,4.0,2.0,8,4.0
2771,11,4.0,4.0,8,4.0
2781,11,2.0,2.0,8,2.0
2787,11,2.0,2.0,8,4.0
2807,11,2.0,2.0,8,2.0
2812,11,2.0,2.0,8,2.0
2818,11,2.0,2.0,8,2.0
2822,11,2.0,2.0,1,2.0
2824,11,2.0,2.0,1,2.0
2825,11,2.0,2.0,1,2.0
2826,11,2.0,2.0,1,2.0
2829,11,2.0,2.0,1,2.0
2832,11,2.0,2.0,1,2.0
2834,11,2.0,2.0,1,2.0
2836,11,2.0,2.0,1,2.0
2838,12,2.0,2.0,1,2.0
2845,12,4.0,2.0,1,4.0
2847,12,2.0,2.0,1,4.0
2851,12,2.0,2.0,1,2.0
2854,12,2.0,2.0,1,2.0
2855,12,4.0,2.0,1,4.0
2858,12,2.0,2.0,1,2.0
2893,12,4.0,2.0,8,4.0
2894,12,2.0,2.0,8,2.0
2907,12,2.0,2.0,8,2.0
2909,12,2.0,2.0,1,4.0
2915,12,2.0,2.0,1,2.0
2921,12,2.0,2.0,1,2.0
2925,12,2.0,2.0,1,2.0
2928,12,2.0,2.0,1,2.0
2930,12,2.0,2.0,1,2.0
2932,12,2.0,2.0,1,2.0
2934,12,2.0,2.0,1,2.0
2938,12,2.0,2.0,1,2.0
2956,12,2.0,2.0,1,2.0
2958,12,2.0,2.0,1,2.0
2964,12,2.0,2.0,1,2.0
2968,12,2.0,2.0,1,4.0
2972,12,2.0,2.0,1,2.0
2987,12,2.0,2.0,1,2.0
2988,12,4.0,2.0,1,4.0
2990,12,2.0,2.0,1,2.0
2994,12,2.0,2.0,1,2.0
2997,12,2.0,2.0,1,2.0
2999,12,2.0,4.0,1,4.0
3001,12,2.0,2.0,1,4.0
3002,12,2.0,2.0,1,4.0
3003,12,2.0,2.0,1,4.0
3005,12,2.0,2.0,1,2.0
3006,12,2.0,2.0,1,2.0
3023,12,2.0,2.0,1,4.0
3035,12,2.0,2.0,1,2.0
3053,12,2.0,2.0,1,4.0
3062,12,2.0,2.0,1,4.0
3066,12,2.0,2.0,1,4.0
3069,12,2.0,2.0,1,2.0
3089,12,2.0,2.0,1,2.0
3090,12,2.0,2.0,1,2.0
3094,12,2.0,2.0,1,2.0
3096,12,2.0,2.0,1,2.0
3097,12,2.0,2.0,1,2.0
3099,12,2.0,2.0,1,2.0
3115,12,4.0,2.0,8,4.0
3123,12,2.0,2.0,1,2.0
3155,12,4.0,2.0,8,4.0
3192,12,4.0,2.0,1,4.0
3194,12,2.0,2.0,1,2.0
3195,12,4.0,2.0,1,4.0
3208,12,2.0,2.0,1,2.0
3216,12,2.0,2.0,1,4.0
3218,12,2.0,2.0,1,4.0
3222,12,4.0,2.0,1,4.0
3246,12,2.0,2.0,1,2.0
3248,12,2.0,2.0,1,4.0
3277,12,2.0,2.0,1,2.0
3279,12,2.0,2.0,1,2.0
3284,12,4.0,2.0,1,4.0
3287,12,2.0,2.0,1,2.0
3301,12,2.0,2.0,1,2.0
3303,12,2.0,2.0,1,2.0
3334,12,4.0,2.0,8,4.0
3335,12,4.0,2.0,8,4.0
3339,12,4.0,2.0,1,4.0
3346,12,2.0,2.0,1,4.0
3354,12,2.0,2.0,1,2.0
3356,12,2.0,2.0,1,4.0
3357,12,2.0,4.0,1,2.0
3358,12,2.0,2.0,1,4.0
3359,12,2.0,2.0,1,2.0
3360,12,2.0,2.0,1,2.0
3363,12,2.0,2.0,1,2.0
3372,12,2.0,2.0,1,2.0
3374,12,2.0,2.0,1,2.0
3377,12,2.0,2.0,1,2.0
3381,12,2.0,2.0,1,4.0
3400,12,2.0,2.0,1,2.0
3403,12,2.0,4.0,1,2.0
3408,12,2.0,2.0,1,2.0
3410,12,2.0,2.0,1,2.0
3419,12,2.0,2.0,1,2.0
3420,12,2.0,2.0,1,2.0
3428,12,2.0,2.0,1,2.0
3431,12,2.0,2.0,1,2.0
3432,12,2.0,2.0,1,2.0
3433,12,2.0,2.0,1,2.0
3434,12,4.0,2.0,1,4.0
3448,12,2.0,2.0,1,2.0
3449,12,2.0,2.0,1,2.0
3450,12,2.0,2.0,1,2.0
3464,12,2.0,2.0,1,2.0
3465,12,2.0,4.0,1,4.0
3471,12,2.0,2.0,1,2.0
3472,12,2.0,2.0,1,2.0
3473,12,4.0,2.0,1,4.0
3474,12,2.0,2.0,1,2.0
3480,12,2.0,2.0,1,4.0
3486,12,2.0,2.0,1,2.0
3492,12,2.0,2.0,1,2.0
3493,12,2.0,2.0,1,2.0
3494,12,2.0,2.0,1,2.0
3498,12,4.0,2.0,1,4.0
3500,12,2.0,2.0,1,2.0
3505,12,2.0,2.0,1,2.0
3512,12,2.0,2.0,1,4.0
3517,12,2.0,2.0,1,2.0
3519,12,2.0,2.0,1,2.0
3521,12,2.0,2.0,1,2.0
3523,12,2.0,2.0,1,2.0
3531,12,2.0,2.0,1,2.0
3555,12,2.0,2.0,1,2.0
3557,12,2.0,2.0,1,2.0
3559,12,2.0,2.0,1,2.0
3561,12,2.0,2.0,1,2.0
3563,12,2.0,2.0,1,2.0
3565,12,2.0,2.0,1,2.0
3567,12,2.0,2.0,1,2.0
3569,12,2.0,4.0,1,2.0
3572,12,2.0,2.0,1,2.0
3574,12,2.0,2.0,1,2.0
3580,12,2.0,2.0,1,2.0
3584,12,4.0,2.0,1,4.0
3585,12,2.0,2.0,1,2.0
3588,12,2.0,4.0,1,2.0
3590,12,2.0,4.0,1,2.0
3591,12,2.0,2.0,1,2.0
3594,12,2.0,2.0,1,2.0
3598,12,2.0,2.0,1,2.0
3610,12,4.0,2.0,1,4.0
3612,12,2.0,2.0,1,2.0
3632,12,2.0,2.0,1,2.0
3644,12,2.0,2.0,1,2.0
3651,12,4.0,2.0,1,4.0
3654,12,2.0,2.0,1,2.0
3656,12,2.0,2.0,1,2.0
3673,12,2.0,2.0,1,2.0
3674,12,2.0,2.0,1,4.0
3677,12,2.0,2.0,1,2.0
3682,12,2.0,2.0,1,2.0
3683,12,2.0,2.0,1,2.0
3684,12,2.0,2.0,1,2.0
3685,12,2.0,2.0,1,2.0
3687,12,2.0,2.0,1,2.0
3688,12,2.0,2.0,1,4.0
3689,12,2.0,2.0,1,2.0
3690,12,4.0,2.0,1,4.0
3691,12,2.0,2.0,1,2.0
3692,12,2.0,2.0,1,2.0
3694,12,2.0,2.0,1,2.0
3695,12,2.0,2.0,1,2.0
3696,12,2.0,2.0,1,2.0
3700,12,2.0,2.0,1,2.0
3703,12,2.0,2.0,1,2.0
3705,12,2.0,2.0,1,2.0
3706,12,2.0,2.0,1,2.0
3707,12,2.0,2.0,1,2.0
3712,12,2.0,2.0,1,2.0
3715,12,2.0,2.0,1,2.0
3717,12,2.0,2.0,1,2.0
3718,12,2.0,2.0,1,2.0
3721,12,2.0,2.0,1,2.0
3722,12,2.0,2.0,1,2.0
3723,12,2.0,4.0,1,2.0
3724,12,2.0,4.0,1,2.0
3726,12,2.0,4.0,1,2.0
3728,12,2.0,4.0,1,2.0
3729,12,2.0,4.0,1,2.0
3730,12,2.0,4.0,1,2.0
3733,12,2.0,4.0,1,2.0
3736,12,2.0,4.0,1,2.0
3743,12,2.0,2.0,1,2.0
3744,12,2.0,2.0,1,2.0
3747,12,2.0,2.0,1,2.0
3749,12,2.0,2.0,1,2.0
3751,12,2.0,2.0,1,2.0
3766,12,2.0,2.0,1,2.0
